Gene_name GCF_000013365.1_ASM1336v1_genomic.gff GCF_000020445.1_ASM2044v1_genomic.gff GCF_000195775.1_ASM19577v1_genomic.gff GCF_003031245.1_ASM303124v1_genomic.gff GCF_003031265.1_ASM303126v1_genomic.gff GCF_007005445.1_ASM700544v1_genomic.gff GCF_013415845.1_ASM1341584v1_genomic.gff GCF_016584445.1_ASM1658444v1_genomic.gff
czcD 1 0 1 1 1 1 1 1
lcfB_1 1 1 1 1 1 1 1 1
yedZ1 1 1 1 1 1 1 1 1
yedY1 1 1 1 1 1 1 1 1
leuB 1 1 1 1 1 1 1 1
asd2 1 1 1 1 1 1 1 1
cynT_1 1 1 1 1 1 1 1 1
mcl2 1 1 1 0 0 0 1 1
leuD 1 1 1 1 1 1 1 1
leuC 1 1 1 1 1 1 1 1
rplS 1 1 1 1 1 1 1 1
trmD 1 1 1 1 1 1 1 1
rimM 1 1 1 1 1 1 1 1
rpsP 1 1 1 1 1 1 1 1
ffh 1 1 1 1 1 1 1 1
dapF 1 1 1 1 1 1 1 1
mtaB 1 1 1 1 1 1 1 1
ftsY 1 1 1 1 1 1 1 1
yciB_1 1 1 1 1 1 1 1 1
cycY 1 1 1 1 1 1 1 1
ccmC 1 1 1 1 1 1 1 1
ubiL 1 1 1 1 1 1 1 1
tesB 1 1 1 1 1 1 1 1
glnB_1 1 1 1 1 1 1 1 1
glnK 1 1 1 1 1 1 1 1
amtB 1 0 0 0 0 1 0 0
dapL 1 1 1 1 1 1 1 1
lolA 1 1 1 1 1 1 1 1
xthA_1 1 1 1 1 1 1 1 1
walR 1 1 1 1 1 1 1 1
leuS 1 1 1 1 1 1 1 1
parB 1 1 1 1 1 1 1 1
parA_1 1 0 0 0 0 0 0 0
rsmG 1 1 1 1 1 1 1 1
mnmG 1 1 1 1 1 1 1 1
mnmE 1 1 1 1 1 1 1 1
rho 1 1 1 1 1 1 1 1
yqfL 1 1 1 1 1 1 1 1
maf 1 1 1 1 1 1 1 1
coaE 1 1 1 1 1 1 1 1
dnaQ 1 1 1 1 1 1 1 1
secB 1 1 1 1 1 1 1 1
hslU 1 1 1 1 1 1 1 1
hslV 1 1 1 1 1 1 1 1
hisB 1 1 1 1 1 1 1 1
hisH 1 1 1 1 1 1 1 1
hisA 1 1 1 1 1 1 1 1
hisF 1 1 1 1 1 1 1 1
hisE_1 1 1 1 1 1 1 1 1
coaA 1 1 1 1 1 1 1 1
barA 1 1 1 1 1 0 1 1
comM 1 1 1 1 1 1 1 1
rpaI 1 1 1 1 1 1 1 1
rpaR_1 1 1 0 0 0 0 0 0
gshB 1 1 1 1 1 1 1 1
rsmI 1 1 1 1 1 1 1 1
lpoA 1 1 1 1 1 1 1 1
hemW 1 1 1 1 1 1 1 1
rph 1 1 1 1 1 1 1 1
hrcA 1 1 1 1 1 1 1 1
grpE 1 1 1 1 1 1 1 1
dnaK 1 1 1 1 1 1 1 1
dnaJ 1 1 1 1 1 1 1 1
rsmA_1 1 1 1 1 1 1 1 1
pyrF 1 1 1 1 1 1 1 1
dapB 1 1 1 1 1 1 1 1
gpmI 1 1 1 1 1 1 1 1
ada 1 1 1 1 1 1 1 1
nth 1 1 1 1 1 1 1 1
glgA1 1 1 1 1 1 1 1 1
glgC 1 1 1 1 1 1 1 1
ydeP_2 1 1 0 1 1 0 0 0
pfkB 1 1 1 1 1 1 1 1
palH 1 1 1 1 1 1 1 1
pcm_1 1 1 1 1 1 1 1 1
trxC 1 1 1 1 1 1 1 1
lrp_1 1 1 1 1 1 1 1 1
mdeA 1 1 1 0 1 1 1 1
rluD 1 1 1 1 1 1 1 1
rpoH_2 1 1 0 1 1 0 0 0
pckA 1 1 1 1 1 1 1 1
baeR 1 1 0 1 1 1 1 0
sasA_4 1 1 1 1 1 1 1 1
hprK 1 1 1 1 1 1 1 1
manX 1 1 1 1 1 1 1 1
lepA 1 1 1 1 1 1 1 1
vsr 1 1 1 0 1 0 0 1
ydiP 1 1 1 0 1 0 0 1
aceK 1 1 1 1 1 1 1 1
cysK1 1 1 1 1 1 1 1 1
tam_1 1 1 1 1 1 1 1 1
rpoE 1 1 1 1 1 1 1 1
chrR_1 1 1 1 1 1 1 1 1
yohK 1 1 1 1 1 1 1 1
cidA 1 1 1 1 1 0 1 1
dsbB 1 1 1 1 1 1 1 1
hrpB 1 1 1 1 1 1 1 1
yddG 1 1 1 1 1 1 1 1
phaB 1 1 1 1 1 1 1 1
phaA 1 1 1 1 1 1 1 1
rpmF 1 1 1 1 0 1 1 1
mtgA_2 1 1 1 1 1 1 1 1
nhaK 1 1 1 1 1 0 1 1
ispG 1 1 1 1 1 1 1 1
eamA_1 1 0 0 0 0 0 0 0
zur 1 1 1 1 1 1 1 1
pcaF 1 1 1 1 1 1 1 1
hcaB_2 1 1 1 1 1 1 1 1
pgrR_1 1 0 0 0 0 0 0 0
mutS 1 1 1 1 1 1 1 1
secA 1 1 1 1 1 1 1 1
accA_2 1 1 1 1 1 1 1 1
xerD 1 1 1 1 1 1 1 1
aroK_1 1 1 1 1 1 1 1 1
aroB 1 1 0 1 1 0 1 0
bolA 1 1 1 1 1 1 1 1
yabI_1 1 1 1 1 1 1 1 1
cobS_1 1 1 1 1 1 0 1 1
cobT_1 1 1 1 1 1 1 1 1
rcsC_2 1 1 1 1 1 1 1 1
rpmB 1 1 1 1 1 1 1 1
fdxA_1 1 0 0 0 0 0 0 0
bepA_1 1 1 1 1 1 1 1 1
paaG_1 1 1 1 1 1 1 1 1
crt_1 1 1 1 1 1 1 1 1
caiA_1 1 0 0 0 0 0 0 0
gdh 1 1 1 1 1 1 1 1
yfmJ 1 1 1 1 1 1 1 1
fpgS_1 1 0 0 0 0 0 0 0
gshAB 1 0 0 0 0 0 0 0
mftE 1 1 1 1 1 1 1 1
ssuB_1 1 1 1 1 1 1 1 1
ribX_1 1 0 0 0 0 1 0 0
fitB_1 1 1 0 0 0 0 0 0
davD 1 1 0 0 0 1 0 0
fadD3_1 1 1 1 1 1 1 1 1
ydjH 1 1 1 1 1 0 1 1
murJ_1 1 1 1 1 1 1 1 1
trpS 1 1 1 1 1 1 1 1
nfuA 1 1 1 1 1 1 1 1
OSGEPL1 1 1 1 1 1 1 1 1
mshD 1 1 1 1 1 1 1 1
fur_1 1 1 1 0 0 1 1 1
yieH 1 1 1 1 1 1 1 1
miaB_1 1 1 1 1 1 1 1 1
ybeZ 1 0 0 0 0 0 0 0
ybeY 1 1 1 1 1 1 1 1
lnt 1 1 1 1 1 1 1 1
trmB 1 1 1 1 1 1 1 1
rimP 1 1 1 1 1 1 1 1
nusA 1 1 1 1 1 1 1 1
infB 1 1 1 1 1 1 1 1
rbfA 1 1 1 1 1 1 1 1
truB 1 1 1 1 1 1 1 1
rpsO 1 1 1 1 1 1 1 1
pnp 1 1 1 1 1 1 1 1
sodA1 1 0 0 0 0 1 0 0
oxyR_1 1 0 0 1 1 1 0 0
katG 1 1 1 1 1 1 1 1
fabI_1 1 1 1 1 1 1 1 1
fabB 1 1 1 1 1 1 1 1
fur_2 1 1 1 0 0 1 1 1
moeZ 1 1 1 1 1 1 1 1
mutM 1 1 1 1 1 1 1 1
ubiE 1 1 1 1 1 1 1 1
ubiB_1 1 0 0 0 0 1 0 0
coaBC 1 1 1 1 1 1 1 1
dut 1 1 1 1 1 1 1 1
divL 1 1 1 1 1 1 1 1
murU 1 1 1 1 1 1 1 1
addA 1 1 1 1 1 1 1 1
trxA 1 1 1 1 1 1 1 1
fpgS_2 1 0 0 0 0 0 0 0
accD 1 1 1 1 1 1 1 1
trpA 1 1 1 1 1 1 1 1
trpB_1 1 1 1 1 1 1 1 1
trpF 1 1 1 1 1 1 1 1
ihfB 1 1 1 1 1 1 1 1
rpsA 1 1 1 1 1 1 1 1
cmk 1 1 1 1 1 1 1 1
aroA 1 1 1 1 1 1 1 1
uctC_1 1 1 1 1 0 1 1 1
ugpB_2 1 1 1 1 1 1 1 1
ugpA 1 1 1 1 1 1 1 1
ugpC_2 1 1 1 1 1 1 1 1
ibpA_1 1 1 1 1 1 1 1 1
ptsN 1 0 0 0 1 1 0 0
hpf 1 1 1 1 1 1 1 1
rpoN2 1 1 1 1 1 1 1 1
btuD_4 1 1 1 1 1 1 1 1
lptA 1 1 1 1 1 1 1 1
rnd_1 1 1 1 1 1 1 1 1
uppP 1 1 1 1 1 1 1 1
fzlA 1 1 1 1 1 1 1 1
queG 1 1 1 1 1 1 1 1
ampG 1 1 1 1 1 1 1 1
recR 1 1 1 1 1 1 1 1
ybaB 1 1 1 1 1 1 1 1
nudC 1 0 1 0 0 0 1 1
yihV_1 1 1 1 1 1 1 1 1
def 1 1 1 1 1 1 1 1
fmt_1 1 0 0 0 0 0 0 0
truA 1 1 1 1 1 1 1 1
dapE_2 1 1 1 1 1 1 1 1
dapD 1 1 1 1 1 1 1 1
argB 1 1 1 1 1 1 1 1
engB 1 1 1 1 1 1 1 1
yidC 1 1 1 1 1 1 1 1
rnpA 1 1 1 1 1 1 1 1
sasA_5 1 1 1 1 1 1 1 1
pcpR 1 0 0 0 0 0 0 0
aam_1 1 1 1 1 1 1 1 1
btuD_5 1 1 1 1 1 1 1 1
livF_2 1 1 1 1 1 1 1 1
C2-hpah 1 0 0 0 0 0 0 0
hpaC_1 1 0 0 0 0 0 0 0
ku_1 1 1 1 1 1 1 1 1
caiD_1 1 1 1 1 1 1 1 1
purC_1 1 1 1 1 1 1 1 1
rcsC_3 1 1 1 1 1 1 1 1
rhaS_1 1 1 1 1 1 1 1 1
gloC 1 1 1 1 1 1 1 1
katE 1 1 1 1 1 1 1 1
fdhD 1 1 1 1 1 1 1 1
rsxC 1 1 1 1 1 1 1 1
hndA 1 1 1 1 1 1 1 1
oxyR_2 1 0 0 1 1 1 0 0
COQ5_1 1 1 1 1 1 1 1 1
gdx_1 1 1 1 1 1 1 1 1
hoxN 1 1 1 1 1 1 1 1
hmuU_1 1 1 1 1 1 1 1 1
fecE_1 1 0 0 0 0 1 0 0
cobD_1 1 1 1 1 1 1 1 1
cobQ_1 1 1 1 1 1 1 1 1
cobO 1 1 1 1 1 1 1 1
cobN 1 0 0 1 1 1 1 0
cobP 1 1 1 1 1 1 1 1
cobT_2 1 1 1 1 1 1 1 1
bamA_1 1 0 0 0 0 0 0 0
pcaR_1 1 0 0 0 0 0 0 0
hag 1 1 1 1 1 0 1 1
flgD_1 1 0 0 0 0 0 0 0
flgE 1 1 1 1 1 1 1 1
flgK 1 1 1 1 1 0 1 1
rhlG 1 1 1 1 1 1 1 1
pal_2 1 1 1 1 1 1 1 1
sasA_6 1 1 1 1 1 1 1 1
pstS 1 0 0 0 0 1 0 0
pstC 1 1 1 1 1 1 1 1
pstA 1 1 1 1 1 1 1 1
pstB 1 1 1 1 1 1 1 1
phoU 1 1 1 1 1 1 1 1
phoB 1 1 1 1 1 1 1 1
aruC 1 1 1 0 0 0 1 1
argF 1 1 1 1 1 1 1 1
hslO 1 1 1 1 1 1 1 1
apaG 1 1 1 1 1 1 1 1
metZ 1 1 1 1 1 1 1 1
dcd 1 1 1 1 1 1 1 1
rhaS_2 1 1 1 1 1 1 1 1
ogt_1 1 1 1 1 1 1 1 1
prsE_1 1 0 0 0 0 0 0 0
prsD_1 1 0 0 0 0 0 0 0
malL 1 1 1 1 1 1 1 1
gltX_1 1 1 1 1 1 1 1 1
rpfC 1 1 1 1 1 1 1 1
etfB 1 1 1 1 1 1 1 1
etfA 1 1 1 1 1 1 1 1
hbd 1 1 1 0 0 1 1 1
dmlR_1 1 1 1 1 1 1 1 1
kefG 1 1 0 1 0 1 1 0
ybaA 1 0 0 0 0 1 0 0
tlpA 1 1 1 1 1 1 1 1
argH 1 1 1 1 1 1 1 1
lysA 1 1 1 1 1 1 1 1
cpdR_1 1 1 1 1 1 1 1 1
ftsE 1 1 1 1 1 1 1 1
chaC 1 1 1 1 1 1 1 1
yheS_1 1 1 1 1 1 1 1 1
arcA 1 1 1 1 1 1 1 1
malP 1 1 1 1 1 1 1 1
pyrE 1 1 1 1 1 1 1 1
xni 1 0 0 0 0 0 1 0
pyrK 1 0 0 0 0 0 0 0
dps2_1 1 0 0 0 0 0 0 0
mopII 1 1 1 1 1 1 1 1
mopA 1 1 0 0 0 1 0 0
modA 1 1 1 1 1 1 1 1
modB 1 0 1 0 0 0 0 1
btuD_6 1 1 1 1 1 1 1 1
hisE_2 1 1 1 1 1 1 1 1
ligC 1 1 1 0 0 1 1 1
ligB_1 1 1 1 1 1 1 1 1
ligA_1 1 1 1 1 1 1 1 1
pmdD 1 1 1 1 1 1 1 1
proA_2 1 1 1 1 1 1 1 1
ligJ 1 1 1 1 1 1 1 1
galD 1 0 1 0 0 0 0 1
hdfR_1 1 1 1 1 1 0 1 1
namA 1 0 0 0 0 1 1 0
ypmQ 1 1 1 1 1 1 1 1
mltF 1 1 1 1 1 1 1 1
lysS 1 1 1 1 1 1 1 1
mdtC_1 1 1 1 1 1 1 1 1
pal_3 1 1 1 1 1 1 1 1
pal_4 1 1 1 1 1 1 1 1
mhpA 1 0 0 1 1 0 0 0
hmgA 1 1 1 1 1 1 1 1
nagL 1 1 1 1 1 1 1 1
uctC_2 1 1 1 1 0 1 1 1
cutM_1 1 0 0 0 0 0 0 0
cutL_1 1 1 1 1 1 1 1 1
cutS_1 1 0 0 0 0 0 0 0
xylT 1 0 0 0 0 0 0 0
otsB 1 1 1 1 1 1 1 1
otsA 1 1 1 1 1 1 1 1
xerC_2 1 1 1 0 0 1 1 1
cydA_1 1 0 0 0 0 1 0 0
cydB_2 1 1 1 1 1 1 0 1
cydD 1 0 0 0 0 1 0 0
ssuC_1 1 1 1 1 1 1 1 1
ssuB_2 1 1 1 1 1 1 1 1
amiF 1 0 0 0 0 0 0 0
hdfR_2 1 1 1 1 1 0 1 1
livH_2 1 1 1 1 1 1 1 1
amiC_2 1 1 1 1 1 1 1 1
metN 1 0 0 0 0 0 0 0
livF_3 1 1 1 1 1 1 1 1
mdh_2 1 0 0 0 0 0 0 0
fbp 1 1 1 1 1 1 1 1
prkA 1 1 1 1 1 1 1 1
tktA_1 1 1 1 1 1 1 1 1
fda 1 1 1 1 1 1 1 1
cbbM 1 1 1 1 1 1 1 1
feoB 1 1 1 1 1 1 1 1
fabG_1 1 1 1 1 1 1 1 1
nifA 1 1 1 1 1 1 1 1
fer1_1 1 1 1 1 1 1 1 1
nifB 1 0 0 0 0 1 0 0
fer1_2 1 1 1 1 1 1 1 1
hesB1_1 1 1 1 1 1 0 1 1
nifH 1 1 0 1 1 1 1 0
nifD_1 1 1 1 1 1 1 1 1
nifK_1 1 1 1 1 1 1 1 1
nifD_2 1 1 1 1 1 1 1 1
nifK_2 1 1 1 1 1 1 1 1
fdxB 1 1 1 1 1 1 1 1
hesB1_2 1 1 1 1 1 0 1 1
nifS 1 0 0 0 1 0 0 0
frbC 1 1 1 1 1 1 1 1
nifW 1 1 1 1 1 1 1 1
carD 1 1 1 1 1 1 1 1
carE 1 1 1 1 1 1 1 1
fixX 1 1 1 1 1 1 1 1
fabG_2 1 1 1 1 1 1 1 1
menE_1 1 1 1 1 1 1 1 1
ilvG 1 1 0 1 1 0 1 0
ilvE_1 1 1 1 1 1 0 1 1
caiC_1 1 1 1 1 1 0 1 1
metAS 1 1 1 1 1 1 1 1
hpaC_2 1 0 0 0 0 0 0 0
mshA_1 1 1 1 1 1 1 1 1
galE_1 1 1 1 1 1 1 1 1
rutB_1 1 0 0 1 1 1 0 0
degP_1 1 1 1 1 1 1 1 1
fabI_2 1 1 1 1 1 1 1 1
ackA 1 1 1 1 1 1 1 1
mshA_2 1 1 1 1 1 1 1 1
puuB_2 1 1 1 1 1 0 1 1
gsiA_1 1 1 1 1 1 1 1 1
gsiD_3 1 1 1 1 1 1 1 1
gsiC_2 1 1 1 1 1 1 1 1
cysNC 1 1 1 1 1 1 1 1
cysD 1 1 1 1 1 1 1 1
cysH 1 1 1 1 1 1 1 1
sbp 1 1 1 1 1 1 1 1
cysT_1 1 0 0 0 0 1 0 0
cysW_1 1 0 0 0 0 1 0 0
cysA 1 0 0 0 0 0 0 0
ybfF 1 0 0 0 0 0 0 0
ygaP 1 1 1 1 1 1 1 1
nadC_1 1 0 0 1 1 1 0 0
mutT1 1 0 0 0 0 0 0 0
ligB_2 1 1 1 1 1 1 1 1
yjcS_1 1 1 1 1 1 0 1 1
smc_1 1 1 1 1 1 1 1 1
mutY 1 1 1 1 1 1 1 1
moaB 1 1 1 1 1 1 1 1
catI 1 0 0 0 0 1 0 0
rnhB 1 1 1 1 1 1 1 1
bepA_2 1 1 1 1 1 1 1 1
ispE 1 1 1 1 1 1 1 1
ispB 1 1 1 1 1 1 1 1
yfiC 1 1 1 0 0 1 1 1
glyQ 1 1 1 1 1 1 1 1
glyS 1 1 0 1 1 0 0 0
ppdK 1 1 1 1 1 1 1 1
cusA 1 0 0 0 0 1 0 0
nadC_2 1 0 0 1 1 1 0 0
nadB 1 1 1 1 1 1 1 1
nadA 1 1 1 1 1 1 1 1
acuI 1 0 0 0 0 1 0 0
fatA 1 0 0 0 1 0 0 0
tag 1 1 1 1 1 1 1 1
ygfZ 1 1 1 1 1 1 1 1
lhyD 1 1 1 1 1 1 1 1
nagR 1 0 0 0 0 0 0 0
btuD_7 1 1 1 1 1 1 1 1
dadA 1 1 1 1 1 0 1 1
yedK 1 1 1 1 1 1 1 1
ywlC 1 1 1 1 1 1 1 1
maoI 1 0 0 0 0 0 0 0
virS 1 1 1 1 1 1 1 1
glnT 1 0 0 0 0 0 0 0
IMPDH_1 1 0 0 0 0 0 0 0
purF_1 1 0 0 0 0 0 0 0
cdhR_1 1 0 0 0 0 0 0 0
soxB 1 0 0 0 0 0 0 0
soxD 1 0 0 0 0 0 0 0
soxA_1 1 0 0 0 0 0 0 0
purU_1 1 0 0 0 0 0 0 0
acrC_1 1 0 0 1 0 0 0 0
ygeA 1 0 0 0 0 0 0 0
ccrA2 1 0 0 0 0 1 0 0
fabG_3 1 1 1 1 1 1 1 1
decR_2 1 1 1 1 1 1 1 1
cobD_2 1 1 1 1 1 1 1 1
ribBA 1 1 1 1 1 1 1 1
acdA_1 1 1 1 1 1 1 1 1
gloB_2 1 1 1 1 1 1 1 1
dmdB 1 1 1 1 1 1 1 1
corA 1 1 1 1 1 1 1 1
tadA_1 1 1 1 0 1 0 1 1
rsmD 1 1 1 1 1 1 1 1
prmB 1 1 1 1 1 1 1 1
moaE 1 1 1 1 1 1 1 1
moaD 1 0 0 1 1 1 1 0
pgsA_1 1 1 1 1 1 1 1 1
uvrC 1 1 1 1 1 1 1 1
cspA_1 1 1 1 1 1 1 1 1
rlmJ 1 1 1 1 1 1 1 1
cheY_1 1 1 1 1 1 1 1 1
bauA 1 1 1 1 1 1 1 1
hisS 1 1 1 1 1 1 1 1
flK 1 1 1 1 1 1 1 1
nudL_1 1 1 1 1 1 1 1 1
cca 1 1 1 1 1 1 1 1
queE 1 0 1 0 1 0 1 1
trmL_1 1 1 1 1 1 1 1 1
petA 1 0 0 0 0 0 0 0
fbcH 1 1 1 1 1 1 1 1
fabG_4 1 1 1 1 1 1 1 1
pdxH 1 1 1 1 1 1 1 1
cbpA 1 1 1 1 1 1 1 1
ecfG_1 1 0 0 0 0 1 0 0
fabI_3 1 1 1 1 1 1 1 1
aroC 1 1 1 1 1 1 1 1
clpS2 1 1 1 1 1 1 1 1
