Gene_name GCF_000007765.2_ASM776v2_genomic.gff GCF_000017105.1_ASM1710v1_genomic.gff GCF_000018745.1_ASM1874v1_genomic.gff GCF_000019865.1_ASM1986v1_genomic.gff GCF_000019885.1_ASM1988v1_genomic.gff GCF_000168875.3_ASM16887v3_genomic.gff GCF_000367725.2_Z3055_genomic.gff GCF_001572745.1_ASM157274v1_genomic.gff GCF_002094935.1_ASM209493v1_genomic.gff GCF_002109345.1_ASM210934v1_genomic.gff GCF_004006195.1_ASM400619v1_genomic.gff GCF_004087735.1_ASM408773v1_genomic.gff GCF_005280755.1_ASM528075v1_genomic.gff
nadB 1 1 1 1 1 1 1 1 1 1 1 1 1
metN 1 1 1 1 1 1 1 1 1 1 1 1 1
metI 1 1 1 1 1 1 1 1 1 1 1 1 1
metQ 1 1 1 1 1 1 1 1 1 1 1 1 1
kbl 1 1 1 1 1 1 1 1 1 1 1 1 1
tdh 1 1 0 1 1 1 0 0 1 1 0 1 1
mraZ 1 1 1 1 1 1 1 1 1 1 1 1 1
rsmH 1 1 1 1 1 1 1 1 1 1 1 1 1
ftsL 1 1 1 1 1 1 1 1 1 1 1 1 1
ftsI 1 1 1 1 1 1 1 1 1 1 1 1 1
murE 1 1 1 1 1 1 1 1 1 1 1 1 1
murF 1 1 1 1 1 1 1 1 1 1 1 1 1
mraY 1 1 1 1 1 1 1 1 1 1 1 1 1
murD 1 1 1 1 1 1 1 1 1 1 1 1 1
ftsW 1 1 1 1 1 1 1 1 1 1 1 1 1
murG 1 1 1 1 1 1 1 1 1 1 1 1 1
murC 1 1 1 1 1 1 1 1 1 1 1 1 1
murB 1 1 1 1 1 1 1 1 1 1 1 1 1
ftsQ 1 1 1 1 1 1 1 1 1 1 1 1 1
icfA 1 1 1 1 0 0 1 1 1 1 1 1 1
ftsA 1 1 1 1 1 1 1 1 1 1 1 1 1
ftsZ 1 1 1 1 1 1 1 1 1 1 1 1 1
lpxC 1 1 1 1 1 1 1 1 1 1 1 1 1
secA 1 1 1 1 1 1 1 1 1 1 1 1 1
mutT 1 1 1 1 1 1 1 1 1 1 1 1 1
zapD 1 1 1 1 1 1 1 1 1 1 1 1 1
queF 1 1 1 1 1 1 1 1 1 1 1 1 1
coaE 1 1 1 1 1 1 1 1 1 1 1 1 1
outO 1 1 1 1 1 1 1 1 1 1 1 1 1
epsF 1 1 1 1 1 1 1 1 1 1 1 1 1
cas6f 1 0 1 1 1 1 1 1 1 1 1 1 1
csy3 1 0 1 1 1 1 1 1 1 1 1 1 1
csy2_1 1 1 0 0 0 0 1 0 1 1 0 1 1
csy2_2 1 1 0 0 0 0 1 0 1 1 0 1 1
csy1_1 1 1 0 1 0 0 1 1 1 1 1 1 1
cas3_1 1 1 1 1 1 1 1 1 1 1 1 1 1
cas3_2 1 1 1 1 1 1 1 1 1 1 1 1 1
cas1_1 1 1 1 0 1 1 1 1 1 1 1 1 1
cas1_2 1 1 1 0 1 1 1 1 1 1 1 1 1
ppsD 1 0 0 0 0 0 1 1 1 1 1 1 1
pksH 1 1 0 1 0 0 1 1 1 1 1 1 1
acpK 1 1 1 1 0 0 1 1 1 1 1 1 1
opuCA 1 1 1 1 1 1 1 1 1 1 1 1 1
anmK 1 1 1 1 1 1 1 1 1 1 1 1 1
mepM 1 1 1 1 1 1 1 1 1 1 1 1 1
tyrS 1 1 1 1 1 1 1 1 1 1 1 1 1
lgt_1 1 1 1 1 1 1 1 1 1 1 1 1 1
sdaA 1 1 1 1 1 1 1 1 1 1 1 1 1
ampG 1 1 1 1 1 1 1 1 1 1 1 1 1
tamA 1 1 1 1 1 1 1 1 1 1 1 1 1
coaA 1 1 1 1 1 1 1 1 1 1 1 1 1
gltX 1 1 1 1 1 1 1 1 1 1 1 1 1
ybhL 1 1 1 1 1 1 1 1 1 1 1 1 1
cydA_1 1 1 1 1 1 1 1 1 1 1 1 1 1
cydB_1 1 1 1 1 1 1 1 1 1 1 1 1 1
sfp 1 0 1 1 0 0 1 1 1 1 1 1 1
tufA_1 1 1 1 1 1 1 1 1 1 1 1 1 1
secE 1 1 1 1 1 1 1 0 1 1 0 1 1
nusG 1 1 1 1 1 1 1 1 1 1 1 1 1
rplK 1 1 1 1 1 1 1 1 1 1 1 1 1
rplA 1 1 1 1 1 1 1 1 1 1 1 1 1
rplJ 1 1 1 1 1 1 1 1 1 1 1 1 1
rplL 1 1 1 1 1 1 1 1 1 1 1 1 1
rpoB 1 1 1 1 1 1 1 1 1 1 1 1 1
rpoC 1 1 1 1 1 1 1 1 1 1 1 1 1
rpsL 1 1 1 1 1 1 1 1 1 1 1 1 1
rpsG 1 1 1 1 1 1 1 1 1 1 1 1 1
fusA 1 1 1 1 1 1 1 1 1 1 1 1 1
tufA_2 1 1 1 1 1 1 1 1 1 1 1 1 1
rpsJ 1 1 1 1 1 1 1 1 1 1 1 0 1
rplC 1 1 1 1 1 1 1 1 1 1 1 1 1
rplD 1 1 1 1 1 1 1 1 1 1 1 1 1
rplW 1 1 1 1 1 1 1 1 1 1 1 1 1
rplB 1 1 1 1 1 1 1 1 1 1 1 1 1
rpsS 1 1 1 1 1 1 1 1 1 1 1 1 1
rplV 1 1 1 1 1 1 1 1 1 1 1 1 1
rpsC 1 1 1 1 1 1 1 1 1 1 1 1 1
rplP 1 1 1 1 1 1 1 1 1 1 1 1 1
rpmC 1 1 1 1 1 1 1 1 1 1 1 1 1
rpsQ 1 1 1 1 1 1 1 1 1 1 1 1 1
rplN 1 1 1 1 1 1 1 1 1 1 1 1 1
rplX 1 1 1 1 1 1 1 1 1 1 1 1 1
rplE 1 1 1 1 1 1 1 1 1 1 1 1 1
rpsN 1 1 1 1 1 1 1 1 1 1 1 1 1
rpsH 1 1 1 1 1 1 1 1 1 1 1 0 1
rplF 1 1 1 1 1 1 1 1 1 1 1 0 1
rplR 1 1 1 1 1 1 1 1 1 1 1 0 1
rpsE 1 1 1 1 1 1 1 1 1 1 1 0 1
rpmD 1 1 1 1 1 1 1 1 1 1 1 1 1
rplO 1 1 1 1 1 1 1 1 1 1 1 0 1
secY 1 1 1 1 1 1 1 1 1 1 1 0 1
rpsM 1 1 1 1 1 1 1 1 1 1 1 0 1
rpsK 1 1 1 1 1 1 1 1 1 1 1 0 1
rpsD 1 1 1 1 1 1 1 1 1 1 1 0 1
rpoA 1 1 1 1 1 1 1 1 1 1 1 1 1
rplQ 1 1 1 1 1 1 1 1 1 1 1 1 1
fucP 1 1 1 1 1 1 1 1 1 1 1 1 1
fabV 1 1 1 1 1 1 1 1 1 1 1 1 1
ssb 1 1 1 1 1 1 1 1 1 1 1 1 1
yajR 1 1 1 1 1 1 1 1 1 1 1 1 1
uvrA 1 1 1 1 1 1 1 0 1 1 0 1 1
hemE 1 1 1 1 1 1 0 0 1 1 0 1 1
alkT 1 1 1 1 1 1 1 0 1 1 0 1 1
dinB 1 1 1 1 1 1 1 0 1 1 0 1 1
katE 1 1 1 0 1 1 1 1 1 1 0 1 1
pcnB 1 1 1 1 1 1 1 1 1 1 1 1 1
folK 1 1 1 1 1 1 1 1 1 1 1 1 1
coaD 1 1 1 1 1 1 1 1 1 1 1 1 1
fdx 1 1 1 1 1 1 1 1 1 1 1 1 1
rpmB 1 1 1 1 1 1 1 1 1 1 1 1 1
dut 1 1 1 1 1 1 1 1 1 1 1 1 1
algC 1 1 1 1 1 1 1 1 1 1 1 1 1
pyrE 1 1 1 1 1 1 1 1 1 1 1 1 1
exoA 1 1 1 1 1 1 1 1 1 1 1 1 1
racE 1 0 1 0 0 0 1 1 1 1 1 1 1
rph 1 1 1 1 1 1 1 1 1 1 1 1 1
gmk 1 1 1 1 1 1 1 1 1 1 1 1 1
rpoZ 1 1 1 1 1 1 1 1 1 1 1 1 1
spoT 1 1 1 1 1 1 1 1 1 1 1 1 1
yabJ 1 1 1 1 1 1 1 1 1 1 1 1 1
recG 1 1 1 1 1 1 1 1 1 1 1 1 1
ompA_1 1 1 1 1 1 1 1 1 1 1 1 1 1
htpG 1 1 1 1 1 1 1 1 1 1 1 1 1
ompP1 1 1 1 1 1 1 1 1 1 1 1 1 1
folD 1 1 1 1 1 1 1 1 1 1 1 1 1
mltD_1 1 1 0 1 1 1 1 0 1 1 0 1 1
gloB 1 1 1 1 1 1 1 1 1 1 1 1 1
rnhA 1 1 1 1 1 1 1 1 1 1 1 1 1
dnaQ 1 1 1 1 1 1 1 1 1 1 1 1 1
acpP_2 1 1 1 1 1 1 1 1 1 1 1 1 1
purD 1 1 1 1 1 1 1 1 1 1 1 1 1
thiC 1 1 1 1 1 1 1 1 1 1 1 1 1
mnmC 1 1 1 1 1 1 1 1 1 1 1 1 1
thiG 1 1 1 1 1 1 1 1 1 1 1 1 1
thiE 1 1 1 1 1 1 1 1 1 1 1 1 1
purH 1 1 1 1 1 1 1 1 1 1 1 1 1
fis 1 1 1 1 1 1 1 1 1 1 1 1 1
pepN 1 1 1 1 1 1 1 1 1 1 1 1 1
pfkA 1 1 1 1 1 1 1 1 1 1 1 1 1
xylA 1 1 1 1 1 1 0 0 1 1 0 1 1
xylB 1 1 0 0 1 1 0 0 1 1 0 1 1
xylT 1 1 1 1 1 1 1 1 1 1 1 1 1
mupP 1 1 1 1 1 1 1 1 1 1 1 1 1
ubiG 1 1 1 1 1 1 1 1 1 1 1 1 1
czcD 1 1 1 1 1 1 1 1 1 1 1 1 1
sohB 1 1 1 1 1 1 1 1 1 1 1 1 1
yveA_1 1 1 1 1 1 1 1 1 1 1 1 1 1
hipO 1 1 1 1 1 1 1 1 1 1 1 1 1
naiP_1 1 1 1 1 1 1 1 1 1 1 1 1 1
phoR 1 1 1 1 1 1 1 1 1 1 1 1 1
phoB 1 1 1 1 1 1 1 1 1 1 1 1 1
yliI 1 1 1 1 1 1 1 1 1 1 1 1 1
mdtL 1 0 0 1 1 1 1 1 1 1 1 1 1
mch 1 1 1 1 1 1 1 1 1 1 1 1 1
citE 1 1 1 1 1 1 1 1 1 1 1 1 1
amiD 1 1 1 1 1 1 1 1 1 1 1 1 1
ispB 1 1 1 1 1 1 1 1 1 1 1 1 1
tag 1 1 1 1 1 1 1 1 1 1 1 1 1
rplU 1 1 1 1 1 1 1 1 1 1 1 1 1
rpmA 1 1 1 1 1 1 1 1 1 1 1 1 1
obg 1 1 1 1 1 1 1 1 1 1 1 1 1
rpsT 1 1 1 1 1 1 1 1 1 1 1 1 1
murJ 1 1 1 1 1 1 1 1 1 1 1 1 1
ribF 1 1 1 1 1 1 1 1 1 1 1 1 1
ileS 1 1 1 1 1 1 1 1 1 1 1 1 1
lspA 1 1 1 1 1 1 1 1 1 1 1 1 1
guaD_1 1 0 0 0 1 1 1 0 1 1 0 1 1
dat 1 1 1 1 1 1 1 1 1 1 1 1 1
panD 1 1 1 1 1 1 1 1 1 1 1 1 1
panC 1 1 1 1 1 1 1 1 1 1 1 1 1
panB 1 1 1 1 1 1 1 1 1 1 1 1 1
yveA_2 1 1 1 1 1 1 1 1 1 1 1 1 1
prfB 1 1 1 1 1 1 1 1 1 1 1 1 1
arfB 1 1 1 1 1 1 1 1 1 1 1 1 1
lysS 1 1 1 1 1 1 1 1 1 1 1 1 1
ygfZ 1 1 1 1 1 1 1 1 1 1 1 1 1
mscM 1 1 1 0 1 1 1 1 1 1 1 1 1
ogt 1 1 1 1 1 1 1 1 1 1 1 1 1
rplS 1 1 1 1 1 1 1 1 1 1 1 1 1
trmD 1 1 1 1 1 1 1 1 1 1 1 1 1
rimM 1 1 1 1 1 1 1 1 1 1 1 1 1
ffh 1 1 1 1 1 1 1 1 1 1 1 1 1
ypjD 1 1 1 1 1 1 1 1 1 1 1 1 1
adk 1 1 1 1 1 1 1 1 1 1 1 1 1
trxC 1 1 1 1 1 1 1 1 1 1 1 1 1
hcbA 1 1 1 1 1 1 1 1 1 1 1 1 1
magA 1 1 1 1 1 1 1 1 1 1 1 1 1
aceE 1 1 1 1 1 1 1 1 1 1 1 1 1
aceF 1 1 1 1 1 1 1 1 1 1 1 1 1
lpdA 1 1 1 1 1 0 1 1 1 1 1 1 1
tam_1 1 1 1 1 1 1 1 1 1 1 1 1 1
xseB 1 1 1 1 1 1 1 1 1 1 1 1 1
recQ 1 1 1 1 1 1 1 1 1 1 1 1 1
kdsB 1 1 1 1 1 1 1 1 1 1 1 1 1
argR 1 1 1 1 1 1 1 1 1 1 1 1 1
artM 1 1 1 1 1 1 1 1 1 1 1 1 1
artJ 1 1 1 1 1 1 1 1 1 1 1 1 1
artQ 1 1 1 1 1 1 1 1 1 1 1 1 1
occM 1 1 1 1 1 1 1 1 1 1 1 1 1
rne 1 1 1 1 1 1 1 1 1 1 1 1 1
rluC 1 1 1 1 1 1 1 1 1 1 1 1 1
pphA 1 1 1 1 1 1 1 1 1 1 1 1 1
polX 1 1 1 1 1 1 1 1 1 1 1 1 1
rpmF 1 1 1 1 1 1 1 1 1 1 1 1 1
plsX 1 1 1 1 1 1 1 1 1 1 1 1 1
fabH1 1 1 1 1 1 1 1 1 1 1 1 1 1
fabD 1 1 1 1 1 1 1 1 1 1 1 1 1
fabG_1 1 1 1 1 1 1 1 1 1 1 1 1 1
acpP_3 1 1 1 1 1 1 1 1 1 1 1 1 1
fabF 1 1 1 1 1 1 1 1 1 1 1 1 1
mltG 1 1 1 1 1 1 1 1 1 1 1 1 1
tmk 1 1 1 1 1 1 1 1 1 1 1 1 1
holB 1 1 1 1 1 1 1 1 1 1 1 1 1
ycfH 1 1 1 1 1 1 1 1 1 1 1 1 1
glnB 1 1 1 1 1 1 1 1 1 1 1 1 1
dtpB_1 1 1 1 1 1 1 1 1 1 1 1 1 1
recJ 1 1 1 1 1 1 1 1 1 1 1 1 1
trpR 1 1 1 1 1 1 1 1 1 1 1 1 1
fbp 1 1 1 1 1 1 1 1 1 1 1 1 1
aatA 1 1 1 1 1 1 1 1 1 1 1 1 1
uvrB 1 1 1 1 1 1 1 1 1 1 1 1 1
dedA 1 1 1 1 1 1 1 1 1 1 1 1 1
liuE 1 1 1 1 1 1 1 1 1 1 1 1 1
mtaD 1 1 1 1 1 1 1 1 1 1 1 1 1
gyrA 1 1 1 1 1 1 1 1 1 1 1 1 1
serC 1 1 1 1 1 1 1 1 1 1 1 1 1
aroA 1 1 1 1 1 1 1 1 1 1 1 1 1
cmk 1 1 1 1 1 1 1 1 1 1 1 1 1
rpsA 1 1 1 1 1 1 1 1 1 1 1 1 1
lapA 1 1 1 1 1 1 1 1 1 1 1 1 1
lapB 1 1 1 1 1 1 1 1 1 1 1 1 1
pyrF 1 1 1 1 1 1 1 1 1 1 1 1 1
wecA 1 1 1 1 1 1 1 1 1 1 1 1 1
damX_2 1 1 1 1 0 0 1 1 1 1 1 1 1
dtpB_2 1 1 1 1 1 1 1 1 1 1 1 1 1
smc_1 1 1 0 0 1 1 0 0 0 0 0 0 0
zipA 1 1 1 1 1 1 1 1 1 1 1 1 1
ligA 1 1 1 1 1 1 1 1 1 1 1 1 1
htpX 1 1 1 1 1 1 1 1 1 1 1 1 1
ycf3 1 1 1 1 1 1 1 1 1 1 1 1 1
mltB 1 1 1 1 1 1 1 1 1 1 1 1 1
mrdB 1 1 1 1 1 1 1 1 1 1 1 1 1
mrdA 1 1 1 1 1 1 1 1 1 1 1 1 1
rlmH 1 1 1 1 1 1 1 1 1 1 1 1 1
rsfS 1 1 1 1 1 1 1 1 1 1 1 1 1
nadD 1 1 1 1 1 1 1 1 1 1 1 1 1
holA 1 1 1 1 1 1 1 1 1 1 1 1 1
lptE 1 1 1 1 1 1 1 1 1 1 1 1 1
leuS 1 1 1 1 1 1 1 1 1 1 1 1 1
lnt 1 1 1 1 1 1 1 1 1 1 1 1 1
corC 1 1 1 1 1 1 1 1 1 1 1 1 1
uhpC 1 1 1 1 1 1 1 1 1 1 1 1 1
ybeY 1 1 1 1 1 1 1 1 1 1 1 1 1
ybeZ 1 1 1 1 1 1 1 1 1 1 1 1 1
miaB 1 1 1 1 1 1 1 1 1 1 1 1 1
yveA_3 1 1 1 1 1 1 1 1 1 1 1 1 1
pepA 1 1 1 1 1 1 1 1 1 1 1 1 1
fadE_1 1 1 1 1 1 1 1 1 1 1 1 1 1
pcaF 1 1 1 1 1 1 1 1 1 1 1 1 1
fadJ 1 1 1 1 1 1 1 1 1 1 1 1 1
chbG 1 1 1 1 1 1 1 1 1 1 1 1 1
grxD 1 1 1 1 1 1 1 1 1 1 1 1 1
pyrK 1 1 1 1 1 1 1 1 1 1 1 1 1
glpE_1 1 1 1 1 1 1 1 1 1 1 1 1 1
nadA 1 1 1 1 1 1 1 1 1 1 1 0 1
rbn 1 1 1 0 1 1 1 1 1 1 1 1 1
hemW 1 1 1 1 1 1 1 1 1 1 1 1 1
nudE 1 1 1 1 1 1 1 1 1 1 1 1 1
cysQ_1 1 1 1 1 1 1 1 1 1 1 1 1 1
idi 1 1 1 1 1 1 1 1 1 1 1 1 1
galK 1 1 1 1 1 1 1 1 1 1 1 1 1
thrB 1 1 1 1 1 1 1 1 1 1 1 1 1
bamA 1 1 1 0 1 0 1 1 1 1 1 1 1
skp 1 1 1 1 1 1 1 1 1 1 1 1 1
lpxD_1 1 1 1 1 1 1 1 1 1 1 1 1 1
fabZ_2 1 1 1 1 1 1 1 1 1 1 1 1 1
lpxA 1 1 1 1 1 1 1 1 1 1 1 1 1
lpxB 1 1 1 1 1 1 1 1 1 1 1 1 1
iolX 1 1 1 1 1 1 1 1 1 1 1 1 1
tadA 1 0 0 0 1 1 1 0 1 1 0 1 1
ppa 1 1 1 1 1 1 1 1 1 1 1 1 1
putA 1 1 1 1 1 1 1 1 1 1 1 1 1
mip 1 1 1 1 1 1 1 1 1 1 1 1 1
purL 1 1 1 1 1 1 1 1 1 1 1 1 1
rcsC_1 1 1 1 1 1 1 1 1 1 1 1 1 1
cntI 1 1 1 1 1 1 1 1 1 1 1 1 1
pdhC 1 1 1 1 1 1 1 1 1 1 1 1 1
pdhB_1 1 1 1 1 1 1 1 1 0 0 1 0 0
pdhA 1 1 1 1 1 1 1 1 1 1 1 1 1
ldh 1 1 1 1 1 1 1 1 1 1 1 1 1
ugpQ 1 1 1 1 1 1 1 1 1 1 1 1 1
ribD 1 1 1 1 1 1 1 1 1 1 1 1 1
ribE 1 1 1 1 1 1 1 1 1 1 1 1 1
ribBA 1 1 1 1 1 1 1 1 1 1 1 1 1
ribH 1 1 1 1 1 1 1 1 1 1 1 1 1
ybaB 1 1 1 1 1 1 1 1 1 1 1 1 1
recR 1 1 1 1 1 1 1 1 1 1 1 1 1
dapE 1 1 1 1 1 1 1 1 1 1 1 1 1
dapD 1 1 1 1 1 1 1 1 1 1 1 1 1
rhlE 1 1 1 1 1 1 1 1 1 1 1 1 1
algA 1 1 1 1 1 1 1 1 1 1 1 1 1
hisB 1 1 1 1 1 1 1 1 1 1 1 1 1
gmhA1 1 1 1 1 1 1 1 1 1 1 1 1 1
tal 1 1 1 1 1 1 1 1 1 1 1 1 1
galE 1 1 1 1 1 1 1 1 1 1 1 1 1
galE1 1 1 1 1 1 1 1 1 1 1 1 1 1
hldE_1 1 1 1 1 1 1 1 1 1 1 1 1 1
rkpK 1 1 1 1 1 1 1 1 0 0 1 0 0
fcl_1 1 1 1 1 1 1 1 1 0 0 1 0 0
dxs 1 0 1 1 0 0 1 1 0 0 1 0 0
fcl_2 1 1 1 1 1 1 1 1 0 0 1 0 0
gmd 1 1 1 1 1 1 1 1 0 0 1 0 0
pdhB_2 1 1 1 1 1 1 1 1 0 0 1 0 0
acoA 1 1 1 1 1 1 1 1 0 0 1 0 0
desV 1 1 1 1 1 1 1 1 0 0 1 0 0
fdtB 1 1 1 1 1 1 1 1 0 0 1 0 0
sat/cysC 1 1 1 1 1 1 1 1 1 1 1 1 1
cysQ_2 1 1 1 1 1 1 1 1 1 1 1 1 1
fabG_2 1 1 1 1 1 1 1 1 1 1 1 1 1
btuD_1 1 1 1 1 1 1 1 1 1 1 1 1 1
rayT 1 0 1 0 0 0 1 1 1 1 1 1 1
gacA 1 1 1 1 1 1 1 1 1 1 1 1 1
naiP_2 1 1 1 1 1 1 1 1 1 1 1 1 1
ydaP 1 0 1 1 1 1 1 1 1 1 1 1 1
poxB 1 1 0 0 0 0 1 0 1 1 0 1 1
ldc 1 1 1 1 1 1 1 1 1 1 1 1 1
ampC 1 1 1 0 1 1 1 1 1 1 1 1 1
mkl 1 1 1 1 1 1 1 1 1 1 1 1 1
deoD 1 1 1 1 1 1 1 1 1 1 1 1 1
tig 1 1 1 1 1 1 1 1 1 1 1 1 1
clpP 1 1 1 1 1 1 1 1 1 1 1 1 1
clpX 1 1 1 1 1 1 1 1 1 1 1 1 1
lon 1 1 1 1 1 1 1 1 1 1 1 1 1
pmbA 1 1 1 1 1 1 1 1 1 1 1 1 1
ptsH 1 1 1 1 1 1 1 1 1 1 1 1 1
hprK 1 1 1 1 1 1 1 1 1 1 1 1 1
hpf 1 1 1 1 1 1 1 1 1 1 1 1 1
lptB 1 1 1 1 1 1 1 1 1 1 1 1 1
lptA 1 1 1 1 1 1 1 1 1 1 1 1 1
lptC 1 1 1 1 1 1 1 1 1 1 1 1 1
kdsC 1 1 1 1 1 1 1 1 1 1 1 1 1
kdsD 1 1 1 1 1 1 1 1 1 1 1 1 1
murA 1 1 1 1 1 1 1 1 1 1 1 1 1
bepE_1 1 1 1 1 1 1 1 1 1 1 1 1 1
mdtA_1 1 1 1 1 1 1 1 1 1 1 1 1 1
degP 1 1 1 1 1 1 1 1 1 1 1 1 1
yfiH 1 1 1 1 1 1 1 1 1 1 1 1 1
rluD 1 1 1 1 1 1 1 1 1 1 1 1 1
bamD 1 1 1 1 1 1 1 1 1 1 1 1 1
arcB 1 0 1 0 0 0 0 0 1 1 0 1 1
fadE_2 1 1 1 1 1 1 1 1 1 1 1 1 1
fadE_3 1 1 1 1 0 1 1 1 1 1 1 1 1
fadD_1 1 1 1 0 1 1 1 1 1 1 1 1 1
fadD_2 1 1 1 0 1 1 1 1 1 1 1 1 1
acsA 1 1 1 1 1 1 1 1 1 1 1 1 1
mdtD_1 1 0 1 0 0 0 1 1 1 1 1 1 1
prpB 1 1 1 1 1 1 1 1 1 1 1 1 1
prpC 1 1 1 1 1 1 1 1 1 1 1 1 1
ytrA 1 1 1 1 1 1 1 1 1 1 1 1 1
btuD_2 1 1 1 1 1 1 1 1 1 1 1 1 1
yfkM 1 1 1 0 1 1 1 1 1 1 1 1 1
uvrY_1 1 1 1 1 1 1 1 1 1 1 1 1 1
yfdE 1 1 1 1 1 1 1 1 1 1 1 1 1
dhbF 1 1 1 0 1 1 1 1 1 1 1 1 1
rcsC_2 1 1 1 1 1 1 1 1 1 1 1 1 1
ribZ 1 0 1 1 0 0 1 1 1 1 1 1 1
folE 1 1 1 1 1 1 1 1 1 1 1 1 1
farB 1 1 1 1 0 0 1 1 1 1 1 1 1
emrA 1 1 1 1 1 1 1 1 1 1 1 1 1
rimI 1 1 1 1 1 1 1 1 1 1 1 1 1
mdtA_2 1 1 1 1 1 1 1 1 1 1 1 1 1
bepE_2 1 1 1 1 1 1 1 1 1 1 1 1 1
valS 1 1 1 1 1 1 1 1 1 1 1 1 1
lptF 1 1 1 1 1 1 1 1 1 1 1 1 1
lptG 1 1 1 1 1 1 1 1 1 1 1 1 1
prfC 1 1 1 1 1 1 1 1 1 1 1 1 1
norM 1 1 1 1 1 1 1 1 1 1 1 1 1
slmA 1 1 1 1 1 1 1 1 1 1 1 1 1
maeA 1 1 1 1 1 1 1 1 1 1 1 1 1
purB 1 1 1 1 1 1 1 1 1 1 1 1 1
wbpE 1 1 1 1 1 1 1 1 1 1 1 1 1
rfaH 1 1 1 1 1 1 1 1 1 1 1 1 1
lpxD_2 1 1 1 1 1 1 1 1 1 1 1 1 1
wbgU_1 1 1 1 1 1 1 1 1 1 1 1 1 1
per 1 1 1 1 1 1 1 1 1 1 1 1 1
asnB_1 1 1 1 1 1 1 1 1 1 1 1 1 1
lpxD_3 1 0 1 1 1 1 1 1 1 1 1 1 1
pglK 1 1 1 1 1 1 1 1 1 1 1 1 1
COQ5 1 1 1 1 1 1 1 1 1 1 1 1 1
pglH 1 1 1 1 1 1 1 1 1 1 1 1 1
mshA_1 1 1 1 1 1 1 1 1 1 1 1 1 1
asnB_2 1 1 1 1 1 1 1 1 1 1 1 1 1
pglA 1 1 1 1 1 1 1 1 1 1 1 1 1
wbpI 1 1 1 1 1 1 1 1 1 1 1 1 1
mshA_2 1 1 1 1 1 1 1 1 1 1 1 1 1
