Gene_name GCF_000007925.1_ASM792v1_genomic.gff GCF_000011465.1_ASM1146v1_genomic.gff GCF_000012465.1_ASM1246v1_genomic.gff GCF_000012645.1_ASM1264v1_genomic.gff GCF_000015645.1_ASM1564v1_genomic.gff GCF_000015665.1_ASM1566v1_genomic.gff GCF_000015685.1_ASM1568v1_genomic.gff GCF_000015965.1_ASM1596v1_genomic.gff GCF_000018065.1_ASM1806v1_genomic.gff
rcsC 1 1 0 0 1 0 0 0 0
iscS_1 1 1 1 1 1 1 1 1 1
rsmH 1 1 1 1 1 1 1 1 1
ndhH 1 1 1 1 1 1 1 1 1
menE 1 1 1 1 1 1 1 1 1
menC 1 1 1 1 1 1 1 1 1
menA_1 1 1 1 1 1 1 1 1 1
pchA 1 0 0 0 0 0 0 0 0
gshB 1 1 1 1 1 1 1 1 1
grxC 1 0 0 0 0 0 0 0 0
prfB 1 1 1 1 1 1 1 1 1
ybeY 1 1 1 1 1 1 1 1 1
pabA 1 0 1 0 0 1 1 0 0
hisC 1 1 1 1 1 1 1 1 1
argS 1 1 1 1 1 1 1 1 1
nadC 1 1 1 1 1 1 1 1 1
mnmE 1 1 1 1 1 0 1 1 1
selO_1 1 0 0 0 0 0 0 0 0
relA 1 1 1 1 1 1 1 1 1
yejF 1 1 0 1 1 0 0 0 1
rluD 1 1 1 1 1 1 1 1 1
rbgA 1 1 1 1 1 1 1 1 1
pgk 1 1 1 1 1 1 1 1 1
murG 1 1 1 1 1 1 1 1 1
cobD 1 0 1 0 0 0 1 0 0
pyrD 1 1 1 1 1 1 1 1 1
rnhA 1 1 1 1 1 1 1 1 1
rplL 1 1 1 1 1 1 1 1 1
rplJ 1 1 1 1 1 1 1 1 1
rplA 1 1 1 1 1 1 1 1 1
rplK 1 1 1 1 1 1 1 1 1
nusG 1 1 1 1 1 1 1 1 1
clpB1_1 1 1 1 1 1 1 1 1 1
gloA 1 1 0 1 1 0 0 1 1
eno 1 1 1 1 1 1 1 1 1
ubiB_1 1 1 1 1 1 1 1 1 1
trxB 1 1 1 1 1 1 1 1 1
bicA 1 1 1 0 0 0 1 0 0
hemB 1 1 1 1 1 1 1 1 1
mutS2 1 1 1 1 1 1 1 1 1
obg 1 1 1 1 1 1 1 1 1
yqjG 1 0 0 0 0 0 0 0 0
psbA 1 1 0 0 0 0 0 1 0
aroC 1 1 1 1 1 1 1 1 1
ftsH3_1 1 0 0 0 0 0 0 0 0
sat/cysC 1 1 1 1 1 1 1 1 1
psbO 1 1 1 1 1 1 1 1 1
coaBC 1 1 1 1 1 1 1 1 1
pyrB 1 1 1 1 1 1 1 1 1
crnA 1 0 0 0 0 0 0 0 0
gatC 1 1 1 1 1 1 1 1 1
ileS 1 1 1 1 1 1 1 1 1
trmB 1 1 1 1 1 1 1 1 1
glmM 1 0 1 0 0 1 1 0 0
dsbD_1 1 1 1 1 0 1 1 1 1
thyX 1 1 1 1 1 1 1 1 1
dcd 1 1 1 1 1 1 1 1 1
btuR 1 0 1 0 0 0 1 0 0
ntcA 1 1 1 1 1 1 1 1 1
pth 1 1 1 1 1 1 1 1 1
tatA_1 1 0 0 1 0 0 0 0 0
psbH 1 1 1 1 1 1 1 1 1
psbN 1 1 0 1 1 0 0 1 1
lptD 1 1 1 1 1 1 1 1 1
leuD 1 0 1 0 0 0 1 1 0
leuC 1 1 1 1 1 1 1 1 1
cinA 1 1 1 1 1 1 1 1 1
glyA 1 1 1 1 1 1 1 1 1
murJ 1 1 1 1 1 1 1 1 1
sfsA 1 1 1 1 1 1 1 1 1
nrgA 1 0 1 0 0 0 1 0 0
ispH2 1 0 0 0 0 0 0 0 0
purH 1 1 1 1 1 1 1 1 1
sasA_1 1 1 1 1 1 1 1 1 1
cobS 1 1 1 1 1 1 1 1 1
tgt 1 1 1 1 1 1 1 1 1
iolG_1 1 0 0 1 1 1 0 1 1
pyrE 1 1 1 1 1 1 1 1 1
ygfZ 1 1 1 1 1 1 1 1 1
pgcA 1 0 0 0 0 1 0 0 0
hisB_1 1 1 0 1 1 0 0 0 0
fabI 1 1 1 1 1 1 1 1 1
desV 1 0 1 1 1 0 1 0 0
nudF 1 1 1 1 1 1 1 1 1
mlaF 1 0 1 1 0 1 1 0 1
ndhJ 1 1 1 1 1 1 1 1 1
ndhK 1 0 1 0 0 0 1 0 0
ndhC 1 1 1 1 1 1 1 1 1
psbE 1 1 1 1 1 1 1 1 1
psbJ 1 1 1 1 1 1 1 1 1
mtnP 1 1 1 1 1 1 1 1 1
selD 1 1 1 1 1 1 1 1 1
pcnB 1 1 0 1 1 1 0 1 1
pcrA 1 1 1 1 1 1 1 1 1
cpeB 1 1 1 1 1 1 1 1 1
cpeA 1 0 1 0 0 0 1 0 0
cpeT 1 0 1 0 0 0 1 0 0
cpeS 1 1 1 1 1 1 0 1 1
pucC 1 0 0 0 0 0 0 0 0
PSK 1 1 1 1 1 0 1 1 1
metK 1 1 1 1 1 1 1 1 1
gph_1 1 0 0 1 0 0 1 0 0
rpsA 1 1 1 1 1 1 1 1 1
nrdR 1 1 1 1 1 1 1 1 1
psbB 1 1 1 1 1 1 1 1 1
prmC 1 0 1 1 0 0 1 0 0
tsaC 1 1 0 1 1 0 0 1 1
minE 1 1 1 1 1 1 1 1 1
minD 1 1 1 1 1 1 1 1 1
minC 1 1 1 1 1 1 1 1 1
petB 1 1 1 1 1 1 1 1 1
petD 1 1 1 1 1 1 1 1 1
mutM 1 1 1 1 1 1 1 1 1
psaE 1 1 1 1 1 1 1 1 1
aldH1 1 1 1 1 1 1 1 1 1
baiN 1 1 0 0 0 0 0 0 0
aroQ 1 1 1 1 1 1 1 1 1
cobI 1 0 0 0 0 0 0 0 0
der_1 1 1 1 1 1 1 1 0 1
ecfT 1 1 1 1 1 1 1 1 1
sepF 1 1 1 1 1 1 1 1 1
proC 1 1 1 1 1 1 1 1 1
mshA_1 1 0 1 0 0 1 1 1 0
recO 1 1 1 1 1 1 1 1 1
deoC 1 1 1 1 1 1 1 1 1
hpf 1 1 1 1 1 1 1 1 1
lipB 1 1 1 1 1 1 1 1 1
odhB 1 1 1 1 1 1 1 1 1
queA 1 1 1 1 1 1 1 1 1
srpG 1 0 0 1 1 1 0 1 1
besB 1 1 1 1 1 1 1 1 1
metC 1 0 1 1 1 1 1 1 1
rpsD 1 1 1 1 1 1 1 1 1
yidD 1 0 1 1 1 1 1 1 1
murE 1 0 1 0 1 1 1 1 1
sufS 1 1 0 1 1 1 0 1 1
nfuA 1 1 1 1 1 1 1 1 1
mqo 1 1 1 1 1 1 1 1 1
lepA 1 1 1 1 1 1 1 1 1
gsiD 1 1 0 1 1 1 1 1 1
trmH 1 1 1 1 1 1 1 1 1
rsmB 1 1 1 1 1 1 1 1 1
pbpF 1 1 0 0 0 1 0 0 1
menA_2 1 1 1 1 1 1 1 1 1
hisF 1 1 1 1 0 1 0 0 1
menG 1 1 1 1 1 1 1 1 1
birA 1 1 1 1 1 1 1 1 1
yknY 1 1 1 1 1 1 1 1 1
ndhB 1 1 1 1 1 1 0 1 1
topA 1 1 1 1 1 1 1 1 1
ribE 1 1 1 1 1 1 1 1 1
ctaE 1 1 1 1 1 0 1 1 0
ctaD 1 1 1 1 1 0 1 1 0
ctaC 1 0 1 0 0 0 1 0 0
ctaA 1 1 1 1 1 1 1 1 1
ctaB 1 1 1 1 1 1 1 1 1
drrA 1 1 1 1 1 1 1 1 1
groL2 1 1 1 1 1 1 1 1 1
fabG_1 1 0 0 0 1 1 0 0 1
ispD 1 1 1 1 1 1 1 1 1
ykfA 1 1 0 1 1 1 0 1 1
plqA 1 0 1 1 1 1 1 1 1
gppA 1 0 1 0 0 0 1 0 0
cbiF 1 1 1 1 1 1 1 1 1
lgt 1 1 1 1 1 1 1 1 1
petA 1 1 1 1 1 1 1 1 1
petC1 1 1 1 0 0 1 1 0 1
tatC 1 1 1 1 1 1 1 1 1
rqcH 1 1 1 1 1 1 1 1 1
gmk 1 1 1 1 1 1 1 1 1
psaJ 1 1 1 1 1 0 1 1 1
psaF 1 1 1 1 1 1 1 1 1
tsaD 1 1 1 1 1 1 1 1 1
nhaH 1 1 1 1 1 1 1 1 1
gltX 1 1 0 1 1 1 0 1 1
map 1 1 1 1 1 1 1 1 1
MgdE 1 1 1 1 1 1 1 1 1
hemL 1 1 1 1 1 1 1 1 1
xthA 1 1 1 1 1 1 1 1 1
larC 1 1 1 1 1 1 1 1 1
yciC_1 1 1 1 1 1 1 0 1 1
phhB 1 1 0 1 1 1 1 1 1
ppa_1 1 1 1 1 1 1 1 1 1
hemC 1 1 1 1 1 1 1 1 1
sigA 1 1 1 0 1 1 1 1 1
priA 1 1 1 1 1 1 1 1 1
argB 1 1 1 1 1 1 1 1 1
cbiJ 1 1 1 1 1 1 0 1 1
cutA 1 1 1 1 1 1 1 1 1
ydjH 1 0 0 1 0 0 0 0 0
purA 1 1 1 1 1 1 1 1 1
proS 1 1 1 1 1 1 1 1 1
ppa_2 1 1 1 1 1 1 1 1 1
yffB 1 0 0 0 0 0 0 0 0
lepB 1 1 1 1 1 1 1 1 1
pyrC_1 1 1 0 0 0 1 0 0 0
gpmA 1 1 1 1 1 1 1 1 1
spoVD 1 1 1 1 1 0 1 1 1
tal 1 1 1 1 1 1 1 1 1
frr 1 1 1 1 1 1 1 1 1
pyrH 1 1 1 1 1 1 1 1 1
cobO 1 1 0 1 1 1 0 1 1
hemH 1 1 1 1 1 1 1 1 1
ilvG 1 1 1 1 1 1 1 1 1
yfiH 1 0 0 0 0 1 0 0 0
pnp_1 1 1 1 0 1 1 1 1 1
mftE 1 1 1 1 1 0 1 1 1
accA 1 1 1 1 1 1 1 1 1
fabG_2 1 0 0 0 1 1 0 0 1
folE_1 1 0 0 0 0 0 0 0 0
trpF 1 1 0 1 1 1 0 1 1
lipM 1 1 1 1 1 1 1 1 1
chlL 1 1 1 1 1 1 1 1 1
chlB 1 1 1 1 1 1 1 1 1
chlN 1 1 1 1 1 1 1 1 1
rdgB 1 0 1 0 0 0 1 0 0
ccmK 1 1 1 1 1 1 1 1 1
cbbL2 1 0 0 0 0 0 0 0 0
cbbS2 1 1 1 1 1 1 1 1 1
eutN 1 1 0 1 1 1 0 1 1
yabJ 1 1 1 1 1 1 1 1 1
gloB 1 1 1 1 1 1 1 1 1
hisG 1 1 1 1 1 1 1 1 1
yheH 1 0 1 0 0 1 1 0 0
dnaA 1 1 1 1 1 1 1 1 1
garB 1 1 1 1 1 1 1 1 1
yrbG 1 0 1 0 0 0 1 0 0
pyrC_2 1 1 0 0 0 1 0 0 0
trpA 1 1 1 1 1 1 1 1 1
petJ 1 0 1 1 0 0 1 1 0
sigA2_1 1 1 1 1 1 1 1 1 1
hisI 1 1 1 1 1 1 1 1 1
crtI 1 1 0 1 1 1 1 1 1
trmFO 1 1 1 1 1 1 1 1 1
psbY 1 0 0 1 0 1 0 0 1
rpsU1 1 1 0 0 1 1 0 1 1
pstB3 1 1 1 1 1 1 1 1 1
pstA 1 1 1 1 1 1 1 1 1
pstC 1 1 1 1 1 1 1 1 1
glnQ_1 1 0 0 0 0 0 0 0 0
yhdY 1 0 1 1 0 1 1 0 0
gltJ 1 0 0 0 0 1 0 0 0
yhdW 1 0 1 1 0 1 1 0 0
tagO 1 1 0 1 1 0 1 0 0
wbnH 1 0 0 0 0 0 0 0 0
frdA 1 0 0 0 0 0 0 0 1
frdB 1 0 0 0 0 0 0 0 0
yfcA 1 0 1 0 0 0 1 0 0
gpgS 1 1 1 1 1 1 1 1 1
gpgP 1 1 1 1 1 0 1 1 1
uppP 1 1 1 1 1 1 1 1 1
msrA_1 1 0 1 0 0 0 1 0 0
yheI 1 1 1 1 1 1 1 1 1
trpD2 1 1 1 1 1 1 1 1 1
carA 1 1 1 1 1 1 1 1 1
mrnC 1 1 1 1 1 1 1 1 1
rlmB 1 1 1 0 1 1 1 1 1
gatA 1 1 1 1 1 1 1 1 1
dnaE 1 1 1 1 1 1 1 1 1
rpsO 1 1 1 1 1 1 1 1 1
ruvA 1 1 1 1 1 1 1 1 1
cntI 1 1 1 1 1 1 1 1 1
dnaG 1 1 1 1 1 1 1 1 1
umuC 1 1 1 1 1 1 1 1 1
umuD 1 1 1 1 1 1 1 1 1
rlmH 1 1 1 1 1 1 1 1 1
rsmA 1 1 1 1 1 1 1 1 1
ispE 1 1 1 1 1 1 1 1 1
bfmBAB 1 1 1 1 1 1 1 1 1
secD 1 1 1 1 1 1 1 1 0
secF 1 1 1 1 1 1 1 1 1
selU 1 1 1 1 1 1 1 1 1
polC 1 1 1 1 1 1 1 1 1
hisS 1 1 1 1 1 1 1 1 1
pcbA 1 1 1 1 1 1 1 1 1
fabG_3 1 0 0 0 0 0 0 0 1
crtL_1 1 1 1 1 1 1 1 1 1
mscS 1 0 1 0 0 0 0 0 0
fur 1 0 0 0 0 0 1 0 0
moaA 1 1 1 1 1 1 0 1 0
stpA 1 1 1 1 1 1 1 1 1
nahK 1 0 1 0 0 0 1 0 0
oah1 1 1 1 1 1 1 1 1 1
metAA 1 1 1 1 1 1 1 1 1
mpdB 1 1 1 1 1 0 1 1 1
rtpR 1 1 0 1 1 0 1 1 1
tam_1 1 1 1 1 0 1 1 1 0
pcyA 1 1 1 1 1 1 1 1 1
arnC_2 1 0 0 0 0 1 0 0 0
rpsB 1 1 1 1 1 1 1 1 1
tsf 1 1 1 1 1 1 1 1 1
recG 1 1 0 1 1 1 0 1 1
ddpX 1 1 1 0 0 0 1 1 0
sir 1 1 0 1 1 1 0 1 1
glyS 1 1 1 1 1 1 1 1 1
kmo 1 1 1 1 1 0 0 1 0
typA 1 1 1 1 1 1 1 1 1
lptB 1 1 1 1 1 1 1 1 1
ccsA 1 1 1 1 1 1 1 1 1
rpe 1 1 1 1 1 1 1 1 1
hemA 1 1 1 1 1 1 1 1 1
glgC 1 1 1 1 1 1 1 1 1
gnd 1 1 1 1 1 1 1 1 1
pgl 1 1 1 1 1 1 1 1 1
ilvD 1 1 1 1 1 1 1 1 1
upp 1 1 1 1 1 1 1 1 1
yciC_2 1 1 1 1 1 1 0 1 1
purS 1 1 1 1 1 1 1 1 1
purQ 1 1 1 1 1 1 1 1 1
fbaA 1 1 0 1 1 1 0 1 0
fda 1 0 1 0 1 1 1 0 1
iolG_2 1 0 0 1 1 1 0 1 1
accD 1 1 1 1 1 1 1 1 1
cfxP 1 1 1 1 1 1 1 1 1
leuB 1 1 1 1 1 1 1 1 1
lpxD 1 1 0 1 1 1 0 1 0
proB 1 1 1 1 1 1 1 1 1
yqgF 1 1 1 1 1 1 1 1 1
hisA 1 1 1 1 1 1 1 1 1
pgsA 1 1 1 1 1 1 1 1 1
nth 1 1 1 1 1 1 1 1 1
btuD 1 1 0 0 0 1 0 0 1
ftnA 1 1 1 1 1 1 1 1 1
pcbC 1 0 1 1 1 1 1 1 1
glnQ_2 1 0 0 0 0 0 0 0 0
pcbG 1 0 0 0 0 0 0 0 0
rsfS 1 1 1 1 1 1 1 1 1
carB 1 1 1 1 1 1 1 1 1
tpiA 1 1 1 1 1 1 1 1 1
folP1 1 0 1 0 0 0 0 0 0
cobN_1 1 1 0 1 1 1 0 1 1
dapB 1 1 1 1 1 1 1 1 1
ubiF 1 1 1 0 0 0 0 0 0
petN 1 1 1 1 1 0 1 1 1
thf1 1 1 1 1 1 1 1 1 1
clpP_1 1 1 1 1 1 1 1 1 1
ftsH2 1 0 0 0 0 0 0 0 0
macB 1 1 1 1 1 1 1 1 1
pyk 1 1 1 1 1 1 1 1 1
scpB 1 1 1 1 0 1 1 0 0
ilvA 1 1 1 1 1 1 1 1 1
dxs_1 1 0 0 0 0 0 0 0 0
psaK1 1 1 1 1 1 1 1 1 1
rpmB 1 1 1 1 1 1 1 1 1
htpG 1 1 1 1 1 1 1 1 1
ndhI_2 1 0 0 0 0 0 0 0 0
hisZ 1 1 1 1 1 1 1 1 1
suhB 1 1 0 1 1 1 1 0 0
dnaK2_1 1 1 1 1 1 1 1 1 1
cbpA 1 0 0 1 1 0 0 1 0
murQ 1 0 1 0 0 0 1 0 0
ppiB 1 1 1 0 1 1 1 1 1
ribBA 1 1 1 1 1 1 1 1 1
argC 1 1 1 1 1 1 1 1 1
purN 1 1 0 1 0 1 1 1 1
pgi 1 1 1 1 1 1 1 1 1
leuS 1 1 1 1 1 1 1 1 1
dapF 1 1 1 1 1 1 1 1 1
iscS_2 1 1 1 1 1 1 1 1 1
coaD 1 1 1 1 1 1 1 1 1
dfa3_2 1 0 1 0 0 0 1 0 0
uvrC 1 1 1 1 1 1 1 1 1
cobN_2 1 1 0 1 1 1 0 1 1
ilvE 1 1 1 1 1 1 1 1 1
metH 1 1 1 1 1 1 1 1 1
rlmCD 1 0 0 0 0 0 0 0 0
pheT 1 1 1 1 1 1 1 1 1
rnr_1 1 1 1 1 1 1 1 1 1
metG 1 1 1 1 1 1 1 1 1
lptC 1 1 0 1 1 1 0 1 1
cobU 1 1 1 1 1 1 1 1 1
trmL 1 1 1 1 1 1 1 1 1
ahpC 1 1 1 1 1 1 1 1 1
ftsH3_2 1 0 0 0 0 0 0 0 0
gph_2 1 0 0 1 0 0 1 0 0
rnr_2 1 1 1 1 1 1 1 1 1
ubiX 1 0 1 0 0 0 1 0 0
tldD 1 1 1 1 1 1 1 1 1
pmbA 1 1 1 1 1 1 1 1 1
fmt 1 1 1 1 1 1 1 1 1
mfd 1 1 0 1 1 1 0 1 1
purK 1 1 1 1 1 1 1 1 1
aroB 1 1 1 1 1 1 1 1 1
nadA 1 1 1 1 1 1 1 1 1
ispG 1 1 1 1 1 1 1 1 1
udg 1 1 1 1 1 1 1 1 1
aspC 1 1 1 1 1 1 1 1 1
phnD1 1 1 1 1 1 1 1 1 1
rsmE 1 1 1 1 1 0 1 1 1
tcyC 1 0 0 0 0 0 0 0 0
hslO 1 1 1 1 1 1 1 1 1
prfC 1 1 1 1 1 1 1 1 1
lspA 1 1 1 1 1 1 1 1 1
era_1 1 1 1 0 1 0 1 1 1
tadA 1 1 1 1 1 1 1 1 1
pucG 1 1 1 1 1 1 1 1 1
glnA 1 1 1 1 1 1 1 1 1
COQ5 1 0 0 0 0 1 0 1 0
acsA 1 1 0 1 0 1 0 1 1
hepT 1 1 1 1 1 1 1 1 1
murI 1 1 1 1 1 1 1 1 1
nit1 1 1 1 1 1 1 1 1 1
comB 1 1 1 1 1 1 1 1 1
ubiD 1 0 1 0 0 0 1 0 0
aroA1 1 1 1 1 1 1 1 1 1
mnmC 1 0 0 0 0 0 0 0 0
glmU 1 1 1 1 1 0 0 1 1
murF 1 1 1 1 1 1 1 1 1
glgA 1 1 1 1 1 1 1 1 1
menB 1 1 1 1 1 1 1 1 1
menD 1 1 1 1 1 1 1 1 1
spsB 1 0 0 0 0 0 0 0 0
mntB_1 1 1 1 1 1 1 1 1 1
mntB_2 1 1 1 1 1 1 1 1 1
trpS 1 1 1 1 1 1 1 1 1
thrS 1 1 1 1 1 1 1 1 1
glk 1 1 1 1 1 1 1 1 1
thrB 1 1 1 1 1 1 1 1 1
ndhD1_2 1 1 1 1 1 1 1 1 1
prlC 1 1 1 1 1 1 1 1 1
folB 1 1 0 1 0 1 0 1 0
proA 1 1 1 1 1 1 1 1 1
cocE 1 1 1 1 1 1 1 1 1
glgB 1 1 1 1 1 1 1 1 1
hemE 1 1 1 1 1 1 1 1 1
petE 1 1 1 1 1 1 1 1 1
clpB1_2 1 1 1 1 1 1 1 1 1
phoP_2 1 0 0 0 0 0 0 0 0
grxD 1 1 1 1 1 1 1 1 1
pdxJ 1 1 1 1 1 1 1 1 1
recC 1 1 1 1 1 1 1 1 1
recB 1 1 1 1 1 1 1 1 1
recD_1 1 0 1 0 0 0 1 0 0
deaD 1 1 1 1 1 1 1 1 1
recR 1 1 1 1 1 1 1 1 1
lipA2 1 1 1 1 1 1 1 1 1
bioB 1 1 1 1 1 1 1 1 1
uppS 1 1 1 1 1 0 1 1 1
cdaA 1 1 1 0 0 1 1 0 0
lysA 1 1 1 1 1 1 1 1 1
rimI 1 1 1 1 1 0 1 0 1
clpC 1 1 1 1 1 1 1 1 1
todF 1 0 0 0 0 1 0 0 0
speA_2 1 1 1 1 1 1 1 1 1
ubiB_2 1 1 1 1 1 1 1 1 1
rluB 1 0 0 0 0 0 0 0 0
malQ 1 1 1 1 1 1 1 1 1
prs 1 1 1 1 1 1 1 1 1
sasA_2 1 1 1 1 1 1 1 1 1
petH 1 1 1 1 1 1 1 1 0
zwf2 1 0 1 0 0 0 0 0 0
cobB 1 0 1 0 0 0 1 0 0
recD_2 1 0 1 0 0 0 1 0 0
folD 1 1 1 1 1 1 1 1 1
pgpH 1 0 0 0 0 0 0 0 0
leuA 1 1 1 1 1 1 1 1 1
crtL_2 1 1 1 1 1 1 1 1 1
gyrA_2 1 1 1 1 1 1 1 1 1
trxA 1 1 1 1 1 1 1 1 1
hisH 1 1 1 1 0 1 0 0 1
rsmD 1 1 1 1 1 1 1 1 1
petG 1 1 0 1 0 1 1 1 0
trmJ 1 0 0 0 0 0 0 0 0
bchI 1 1 1 1 1 1 1 1 1
ruvC 1 1 1 1 1 1 1 1 1
sufE 1 1 1 1 1 1 1 1 1
hom 1 1 1 1 1 1 1 1 1
sgrR 1 0 0 0 0 0 0 0 0
dppB 1 1 1 1 1 1 1 1 1
RBKS 1 1 1 1 1 1 1 1 1
isiB 1 1 1 1 1 1 1 1 1
pcbD 1 0 1 0 0 0 1 0 0
pcbB 1 0 0 0 0 0 0 0 0
pcbH 1 0 1 0 0 0 1 0 0
purT 1 1 1 1 1 1 1 1 1
iolS 1 0 0 0 0 0 0 0 1
ettA 1 0 1 0 0 0 1 0 0
des 1 1 0 1 1 1 0 1 1
desA 1 1 1 1 1 1 1 1 1
btuE 1 1 0 0 0 0 0 0 1
arfB 1 1 1 1 1 1 1 1 1
kch 1 0 0 0 0 0 0 0 0
glxR 1 0 0 0 0 0 0 0 0
tatA_2 1 0 0 1 0 0 0 0 0
ychF 1 1 1 1 1 1 1 1 1
macA 1 1 1 1 1 1 1 1 1
polA 1 1 1 1 1 1 1 1 1
cysS 1 1 1 1 1 1 1 1 1
dxr 1 1 1 1 1 1 1 1 1
pntB 1 1 1 1 1 1 1 1 1
pntA 1 1 1 1 1 1 1 1 1
pntAA 1 1 1 1 1 1 1 1 1
infA 1 1 1 1 1 1 1 1 1
petM 1 1 1 1 1 1 1 1 1
ilvH 1 1 1 1 1 1 1 1 1
ycf4 1 1 1 1 1 1 1 1 1
psbD1 1 0 0 1 1 1 0 1 1
psbC 1 1 1 1 1 1 1 1 1
cobQ 1 1 1 1 1 1 1 1 1
glyQ 1 1 1 1 1 1 1 1 1
idiA 1 1 1 1 0 1 1 1 1
