#This file contains six matrices: shared distinct genes (1), unshared distinct genes (2), shared informative distinct genes (3), unshared informative distinct genes (4), total shared genes (5) and total unshared genes (6).

#shared distinct genes
Genomes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,
15,18,4,30,17,30,30,17,577,2,2,2,13,2,23,590,577,574,17,19,18,3,31,19,13,53,61,1,58,16,13,13,3,59,2,12,
16,17,4,29,17,29,29,16,579,2,2,2,13,2,23,577,579,574,17,19,18,3,30,19,13,52,59,1,58,16,13,13,3,57,2,12,
17,17,4,29,17,29,29,16,574,2,2,2,13,2,23,574,574,585,17,19,18,3,30,19,13,52,59,1,58,16,13,13,3,57,2,12,
18,10,4,14,597,14,14,15,17,2,2,2,19,2,14,17,17,17,608,13,98,3,14,13,19,18,18,1,17,17,16,20,3,18,2,16,
19,13,5,16,13,16,16,14,19,2,2,2,10,2,17,19,19,19,13,552,13,3,16,46,10,20,20,1,19,12,12,10,3,19,2,13,
20,11,4,15,98,15,15,15,18,2,2,2,19,2,15,18,18,18,98,13,602,3,15,13,17,17,17,1,16,16,17,19,3,18,2,17,
21,4,3,3,3,3,3,3,3,2,2,2,3,2,3,3,3,3,3,3,3,390,3,3,3,3,3,1,3,3,3,3,3,3,2,3,
22,18,5,591,14,592,591,15,30,2,2,2,11,2,21,31,30,30,14,16,15,3,593,16,11,27,30,1,27,12,13,11,3,26,2,12,
23,13,5,16,13,16,16,14,19,2,2,2,12,2,17,19,19,19,13,46,13,3,16,539,10,22,19,1,20,13,13,12,3,19,2,11,
24,9,4,11,17,11,11,13,13,2,2,2,71,2,11,13,13,13,19,10,17,3,11,10,600,14,15,1,12,18,41,71,3,13,2,40,
25,17,4,26,17,26,26,16,52,2,2,2,15,2,25,53,52,52,18,20,17,3,27,22,14,580,57,1,59,16,14,16,3,60,2,12,
26,18,4,29,18,29,29,17,59,2,2,2,14,2,23,61,59,59,18,20,17,3,30,19,15,57,591,1,67,15,13,14,3,70,2,13,
27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,390,1,1,1,1,1,1,1,1,
28,17,5,26,17,26,26,15,58,2,2,2,13,2,22,58,58,58,17,19,16,3,27,20,12,59,67,1,577,15,13,13,3,270,2,12,
29,12,4,12,16,12,12,15,16,2,2,2,17,2,14,16,16,16,17,12,16,3,12,13,18,16,15,1,15,590,16,18,3,15,2,14,
30,12,5,13,15,13,13,12,13,2,2,2,45,2,11,13,13,13,16,12,17,3,13,13,41,14,13,1,13,16,590,47,3,12,2,126,
31,10,3,11,18,11,11,12,13,2,2,2,584,2,12,13,13,13,20,10,19,3,11,12,71,16,14,1,13,18,47,588,3,14,2,46,
32,3,4,3,3,3,3,3,3,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,524,3,2,3,
33,17,4,25,18,25,25,17,57,2,2,2,14,2,22,59,57,57,18,19,18,3,26,19,13,60,70,1,270,15,12,14,3,590,2,12,
34,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,455,2,
35,11,5,12,16,12,12,11,12,2,2,2,45,2,11,12,12,12,16,13,17,3,12,11,40,12,13,1,12,14,126,46,3,12,2,580,

#unshared distinct genes
Genomes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,
1,0,1127,1146,1170,1147,1147,1137,1135,971,970,960,1156,968,1144,1144,1135,1141,1178,1116,1170,972,1147,1103,1172,1136,1145,978,1133,1156,1156,1158,1108,1146,1041,1148,
2,1127,0,1129,1139,1130,1130,1114,1118,928,927,917,1127,925,1125,1129,1118,1124,1147,1089,1141,931,1130,1076,1139,1119,1130,935,1114,1129,1127,1129,1063,1129,998,1117,
3,1146,1129,0,1164,1,1,1135,1113,973,972,962,1156,970,1136,1122,1113,1119,1172,1112,1164,976,3,1099,1170,1120,1125,980,1117,1158,1156,1158,1110,1132,1043,1148,
4,1170,1139,1164,0,1165,1165,1145,1145,981,980,970,1150,978,1158,1156,1145,1151,14,1126,1006,984,1165,1113,1166,1146,1155,988,1143,1158,1160,1152,1118,1154,1051,1148,
5,1147,1130,1,1165,0,2,1136,1114,974,973,963,1157,971,1137,1123,1114,1120,1173,1113,1165,977,2,1100,1171,1121,1126,981,1118,1159,1157,1159,1111,1133,1044,1149,
6,1147,1130,1,1165,2,0,1136,1114,974,973,963,1157,971,1137,1123,1114,1120,1173,1113,1165,977,4,1100,1171,1121,1126,981,1118,1159,1157,1159,1111,1133,1044,1149,
7,1137,1114,1135,1145,1136,1136,0,1122,956,955,945,1137,953,1131,1131,1122,1128,1153,1099,1147,959,1138,1086,1149,1123,1132,963,1122,1135,1141,1139,1093,1131,1026,1133,
8,1135,1118,1113,1145,1114,1114,1122,0,960,959,949,1139,957,1119,15,0,16,1153,1093,1145,963,1112,1080,1153,1055,1052,967,1040,1137,1143,1141,1097,1055,1030,1135,
9,971,928,973,981,974,974,956,960,0,765,749,967,755,967,971,960,966,989,933,983,771,974,920,981,961,972,773,958,971,971,969,905,971,838,961,
10,970,927,972,980,973,973,955,959,765,0,756,966,764,966,970,959,965,988,932,982,770,973,919,980,960,971,772,957,970,970,968,902,970,835,960,
11,960,917,962,970,963,963,945,949,749,756,0,956,740,956,960,949,955,978,922,972,760,963,909,970,950,961,762,947,960,960,958,894,960,827,950,
12,1156,1127,1156,1150,1157,1157,1137,1139,967,966,956,0,964,1148,1150,1139,1145,1156,1118,1150,970,1157,1101,1044,1136,1149,974,1137,1142,1086,6,1104,1148,1037,1076,
13,968,925,970,978,971,971,953,957,755,764,740,964,0,964,968,957,963,986,930,980,768,971,917,978,958,969,770,955,968,968,966,902,968,835,958,
14,1144,1125,1136,1158,1137,1137,1131,1119,967,966,956,1148,964,0,1130,1119,1125,1166,1104,1158,970,1137,1091,1164,1116,1131,974,1119,1148,1154,1150,1104,1132,1037,1144,
15,1144,1129,1122,1156,1123,1123,1131,15,971,970,960,1150,968,1130,0,15,27,1164,1104,1156,974,1121,1091,1164,1064,1059,978,1051,1148,1154,1152,1108,1062,1041,1146,
16,1135,1118,1113,1145,1114,1114,1122,0,960,959,949,1139,957,1119,15,0,16,1153,1093,1145,963,1112,1080,1153,1055,1052,967,1040,1137,1143,1141,1097,1055,1030,1135,
17,1141,1124,1119,1151,1120,1120,1128,16,966,965,955,1145,963,1125,27,16,0,1159,1099,1151,969,1118,1086,1159,1061,1058,973,1046,1143,1149,1147,1103,1061,1036,1141,
18,1178,1147,1172,14,1173,1173,1153,1153,989,988,978,1156,986,1166,1164,1153,1159,0,1134,1014,992,1173,1121,1170,1152,1163,996,1151,1164,1166,1156,1126,1162,1059,1156,
19,1116,1089,1112,1126,1113,1113,1099,1093,933,932,922,1118,930,1104,1104,1093,1099,1134,0,1128,936,1113,999,1132,1092,1103,940,1091,1118,1118,1120,1070,1104,1003,1106,
20,1170,1141,1164,1006,1165,1165,1147,1145,983,982,972,1150,980,1158,1156,1145,1151,1014,1128,0,986,1165,1115,1168,1148,1159,990,1147,1160,1158,1152,1120,1156,1053,1148,
21,972,931,976,984,977,977,959,963,771,770,760,970,768,970,974,963,969,992,936,986,0,977,923,984,964,975,778,961,974,974,972,908,974,841,964,
22,1147,1130,3,1165,2,4,1138,1112,974,973,963,1157,971,1137,1121,1112,1118,1173,1113,1165,977,0,1100,1171,1119,1124,981,1116,1159,1157,1159,1111,1131,1044,1149,
23,1103,1076,1099,1113,1100,1100,1086,1080,920,919,909,1101,917,1091,1091,1080,1086,1121,999,1115,923,1100,0,1119,1075,1092,927,1076,1103,1103,1103,1057,1091,990,1097,
24,1172,1139,1170,1166,1171,1171,1149,1153,981,980,970,1044,978,1164,1164,1153,1159,1170,1132,1168,984,1171,1119,0,1152,1161,988,1153,1154,1108,1046,1118,1164,1051,1100,
25,1136,1119,1120,1146,1121,1121,1123,1055,961,960,950,1136,958,1116,1064,1055,1061,1152,1092,1148,964,1119,1075,1152,0,1057,968,1039,1138,1142,1136,1098,1050,1031,1136,
26,1145,1130,1125,1155,1126,1126,1132,1052,972,971,961,1149,969,1131,1059,1052,1058,1163,1103,1159,975,1124,1092,1161,1057,0,979,1034,1151,1155,1151,1109,1041,1042,1145,
27,978,935,980,988,981,981,963,967,773,772,762,974,770,974,978,967,973,996,940,990,778,981,927,988,968,979,0,965,978,978,976,912,978,843,968,
28,1133,1114,1117,1143,1118,1118,1122,1040,958,957,947,1137,955,1119,1051,1040,1046,1151,1091,1147,961,1116,1076,1153,1039,1034,965,0,1137,1141,1139,1095,627,1028,1133,
29,1156,1129,1158,1158,1159,1159,1135,1137,971,970,960,1142,968,1148,1148,1137,1143,1164,1118,1160,974,1159,1103,1154,1138,1151,978,1137,0,1148,1142,1108,1150,1041,1142,
30,1156,1127,1156,1160,1157,1157,1141,1143,971,970,960,1086,968,1154,1154,1143,1149,1166,1118,1158,974,1157,1103,1108,1142,1155,978,1141,1148,0,1084,1108,1156,1041,918,
31,1158,1129,1158,1152,1159,1159,1139,1141,969,968,958,6,966,1150,1152,1141,1147,1156,1120,1152,972,1159,1103,1046,1136,1151,976,1139,1142,1084,0,1106,1150,1039,1076,
32,1108,1063,1110,1118,1111,1111,1093,1097,905,902,894,1104,902,1104,1108,1097,1103,1126,1070,1120,908,1111,1057,1118,1098,1109,912,1095,1108,1108,1106,0,1108,975,1098,
33,1146,1129,1132,1154,1133,1133,1131,1055,971,970,960,1148,968,1132,1062,1055,1061,1162,1104,1156,974,1131,1091,1164,1050,1041,978,627,1150,1156,1150,1108,0,1041,1146,
34,1041,998,1043,1051,1044,1044,1026,1030,838,835,827,1037,835,1037,1041,1030,1036,1059,1003,1053,841,1044,990,1051,1031,1042,843,1028,1041,1041,1039,975,1041,0,1031,
35,1148,1117,1148,1148,1149,1149,1133,1135,961,960,950,1076,958,1144,1146,1135,1141,1156,1106,1148,964,1149,1097,1100,1136,1145,968,1133,1142,918,1076,1098,1146,1031,0,

#shared informative distinct genes
Genomes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,
1,26,5,18,10,18,18,14,17,2,2,2,10,2,16,18,17,17,10,13,11,4,18,13,9,17,18,1,17,12,12,10,3,17,2,11,
2,5,6,5,4,5,5,4,4,2,2,2,3,2,4,4,4,4,4,5,4,3,5,5,4,4,4,1,5,4,5,3,4,4,2,5,
3,18,5,592,14,592,592,16,29,2,2,2,11,2,21,30,29,29,14,16,15,3,591,16,11,26,29,1,26,12,13,11,3,25,2,12,
4,10,4,14,597,14,14,15,17,2,2,2,18,2,14,17,17,17,597,13,98,3,14,13,17,17,18,1,17,16,15,18,3,18,2,16,
5,18,5,592,14,593,592,16,29,2,2,2,11,2,21,30,29,29,14,16,15,3,592,16,11,26,29,1,26,12,13,11,3,25,2,12,
6,18,5,592,14,592,592,16,29,2,2,2,11,2,21,30,29,29,14,16,15,3,591,16,11,26,29,1,26,12,13,11,3,25,2,12,
7,14,4,16,15,16,16,22,16,2,2,2,12,2,15,17,16,16,15,14,15,3,15,14,13,16,17,1,15,15,12,12,3,17,2,11,
8,17,4,29,17,29,29,16,579,2,2,2,13,2,23,577,579,574,17,19,18,3,30,19,13,52,59,1,58,16,13,13,3,57,2,12,
9,2,2,2,2,2,2,2,2,7,2,5,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,
10,2,2,2,2,2,2,2,2,2,4,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,2,2,2,
11,2,2,2,2,2,2,2,2,5,1,8,2,8,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,
12,10,3,11,18,11,11,12,13,2,2,2,585,2,12,13,13,13,19,10,19,3,11,12,71,15,14,1,13,17,45,584,3,14,2,45,
13,2,2,2,2,2,2,2,2,6,1,8,2,9,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,
14,16,4,21,14,21,21,15,23,2,2,2,12,2,30,23,23,23,14,17,15,3,21,17,11,25,23,1,22,14,11,12,3,22,2,11,
15,18,4,30,17,30,30,17,577,2,2,2,13,2,23,581,577,574,17,19,18,3,31,19,13,53,61,1,58,16,13,13,3,59,2,12,
16,17,4,29,17,29,29,16,579,2,2,2,13,2,23,577,579,574,17,19,18,3,30,19,13,52,59,1,58,16,13,13,3,57,2,12,
17,17,4,29,17,29,29,16,574,2,2,2,13,2,23,574,574,576,17,19,18,3,30,19,13,52,59,1,58,16,13,13,3,57,2,12,
18,10,4,14,597,14,14,15,17,2,2,2,19,2,14,17,17,17,599,13,98,3,14,13,19,18,18,1,17,17,16,20,3,18,2,16,
19,13,5,16,13,16,16,14,19,2,2,2,10,2,17,19,19,19,13,50,13,3,16,46,10,20,20,1,19,12,12,10,3,19,2,13,
20,11,4,15,98,15,15,15,18,2,2,2,19,2,15,18,18,18,98,13,104,3,15,13,17,17,17,1,16,16,17,19,3,18,2,17,
21,4,3,3,3,3,3,3,3,2,2,2,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,1,3,3,3,3,3,3,2,3,
22,18,5,591,14,592,591,15,30,2,2,2,11,2,21,31,30,30,14,16,15,3,593,16,11,27,30,1,27,12,13,11,3,26,2,12,
23,13,5,16,13,16,16,14,19,2,2,2,12,2,17,19,19,19,13,46,13,3,16,50,10,22,19,1,20,13,13,12,3,19,2,11,
24,9,4,11,17,11,11,13,13,2,2,2,71,2,11,13,13,13,19,10,17,3,11,10,78,14,15,1,12,18,41,71,3,13,2,40,
25,17,4,26,17,26,26,16,52,2,2,2,15,2,25,53,52,52,18,20,17,3,27,22,14,76,57,1,59,16,14,16,3,60,2,12,
26,18,4,29,18,29,29,17,59,2,2,2,14,2,23,61,59,59,18,20,17,3,30,19,15,57,85,1,67,15,13,14,3,70,2,13,
27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
28,17,5,26,17,26,26,15,58,2,2,2,13,2,22,58,58,58,17,19,16,3,27,20,12,59,67,1,275,15,13,13,3,270,2,12,
29,12,4,12,16,12,12,15,16,2,2,2,17,2,14,16,16,16,17,12,16,3,12,13,18,16,15,1,15,23,16,18,3,15,2,14,
30,12,5,13,15,13,13,12,13,2,2,2,45,2,11,13,13,13,16,12,17,3,13,13,41,14,13,1,13,16,131,47,3,12,2,126,
31,10,3,11,18,11,11,12,13,2,2,2,584,2,12,13,13,13,20,10,19,3,11,12,71,16,14,1,13,18,47,586,3,14,2,46,
32,3,4,3,3,3,3,3,3,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,5,3,2,3,
33,17,4,25,18,25,25,17,57,2,2,2,14,2,22,59,57,57,18,19,18,3,26,19,13,60,70,1,270,15,12,14,3,276,2,12,
34,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,
35,11,5,12,16,12,12,11,12,2,2,2,45,2,11,12,12,12,16,13,17,3,12,11,40,12,13,1,12,14,126,46,3,12,2,131,

#unshared informative distinct genes
Genomes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,
1,0,22,582,603,583,582,20,571,29,26,30,591,31,24,571,571,568,605,50,108,22,583,50,86,68,75,25,267,25,133,592,25,268,24,135,
2,22,0,588,595,589,588,20,577,9,6,10,585,11,28,579,577,574,597,46,102,4,589,46,76,74,83,5,271,21,127,586,3,274,4,127,
3,582,588,0,1161,1,0,582,1113,595,592,596,1155,597,580,1113,1113,1110,1163,610,666,590,3,610,648,616,619,591,815,591,697,1156,591,818,590,699,
4,603,595,1161,0,1162,1161,589,1142,600,597,601,1146,602,599,1144,1142,1139,2,621,505,595,1162,621,641,639,646,596,838,588,698,1147,596,837,595,696,
5,583,589,1,1162,0,1,583,1114,596,593,597,1156,598,581,1114,1114,1111,1164,611,667,591,2,611,649,617,620,592,816,592,698,1157,592,819,591,700,
6,582,588,0,1161,1,0,582,1113,595,592,596,1155,597,580,1113,1113,1110,1163,610,666,590,3,610,648,616,619,591,815,591,697,1156,591,818,590,699,
7,20,20,582,589,583,582,0,569,25,22,26,583,27,22,569,569,566,591,44,96,20,585,44,74,66,73,21,267,15,129,584,21,264,20,131,
8,571,577,1113,1142,1114,1113,569,0,582,579,583,1138,584,563,6,0,7,1144,591,647,577,1112,591,631,551,546,578,738,570,684,1139,578,741,577,686,
9,29,9,595,600,596,595,25,582,0,7,5,588,4,33,584,582,579,602,53,107,7,596,53,81,79,88,6,278,26,134,589,8,279,7,134,
10,26,6,592,597,593,592,22,579,7,0,10,585,11,30,581,579,576,599,50,104,4,593,50,78,76,85,3,275,23,131,586,3,276,2,131,
11,30,10,596,601,597,596,26,583,5,10,0,589,1,34,585,583,580,603,54,108,8,597,54,82,80,89,7,279,27,135,590,9,280,8,135,
12,591,585,1155,1146,1156,1155,583,1138,588,585,589,0,590,591,1140,1138,1135,1146,615,651,583,1156,611,521,631,642,584,834,574,626,3,584,833,583,626,
13,31,11,597,602,598,597,27,584,4,11,1,590,0,35,586,584,581,604,55,109,9,598,55,83,81,90,8,280,28,136,591,10,281,9,136,
14,24,28,580,599,581,580,22,563,33,30,34,591,35,0,565,563,560,601,46,104,28,581,46,86,56,69,29,261,25,139,592,29,262,28,139,
15,571,579,1113,1144,1114,1113,569,6,584,581,585,1140,586,565,0,6,9,1146,593,649,579,1112,593,633,551,544,580,740,572,686,1141,580,739,579,688,
16,571,577,1113,1142,1114,1113,569,0,582,579,583,1138,584,563,6,0,7,1144,591,647,577,1112,591,631,551,546,578,738,570,684,1139,578,741,577,686,
17,568,574,1110,1139,1111,1110,566,7,579,576,580,1135,581,560,9,7,0,1141,588,644,574,1109,588,628,548,543,575,735,567,681,1136,575,738,574,683,
18,605,597,1163,2,1164,1163,591,1144,602,599,603,1146,604,601,1146,1144,1141,0,623,507,597,1164,623,639,639,648,598,840,588,698,1145,598,839,597,698,
19,50,46,610,621,611,610,44,591,53,50,54,615,55,46,593,591,588,623,0,128,48,611,8,108,86,95,49,287,49,157,616,49,288,48,155,
20,108,102,666,505,667,666,96,647,107,104,108,651,109,104,649,647,644,507,128,0,102,667,128,148,146,155,103,347,95,201,652,103,344,102,201,
21,22,4,590,595,591,590,20,577,7,4,8,583,9,28,579,577,574,597,48,102,0,591,48,76,74,83,3,273,21,129,584,3,274,2,129,
22,583,589,3,1162,2,3,585,1112,596,593,597,1156,598,581,1112,1112,1109,1164,611,667,591,0,611,649,615,618,592,814,592,698,1157,592,817,591,700,
23,50,46,610,621,611,610,44,591,53,50,54,611,55,46,593,591,588,623,8,128,48,611,0,108,82,97,49,285,47,155,612,49,288,48,159,
24,86,76,648,641,649,648,74,631,81,78,82,521,83,86,633,631,628,639,108,148,76,649,108,0,126,133,77,329,65,127,522,77,328,76,129,
25,68,74,616,639,617,616,66,551,79,76,80,631,81,56,551,551,548,639,86,146,74,615,82,126,0,47,75,233,67,179,630,75,232,74,183,
26,75,83,619,646,620,619,73,546,88,85,89,642,90,69,544,546,543,648,95,155,83,618,97,133,47,0,84,226,78,190,643,84,221,83,190,
27,25,5,591,596,592,591,21,578,6,3,7,584,8,29,580,578,575,598,49,103,3,592,49,77,75,84,0,274,22,130,585,4,275,1,130,
28,267,271,815,838,816,815,267,738,278,275,279,834,280,261,740,738,735,840,287,347,273,814,285,329,233,226,274,0,268,380,835,274,11,273,382,
29,25,21,591,588,592,591,15,570,26,23,27,574,28,25,572,570,567,588,49,95,21,592,47,65,67,78,22,268,0,122,573,22,269,21,126,
30,133,127,697,698,698,697,129,684,134,131,135,626,136,139,686,684,681,698,157,201,129,698,155,127,179,190,130,380,122,0,623,130,383,129,10,
31,592,586,1156,1147,1157,1156,584,1139,589,586,590,3,591,592,1141,1139,1136,1145,616,652,584,1157,612,522,630,643,585,835,573,623,0,585,834,584,625,
32,25,3,591,596,592,591,21,578,8,3,9,584,10,29,580,578,575,598,49,103,3,592,49,77,75,84,4,274,22,130,585,0,275,3,130,
33,268,274,818,837,819,818,264,741,279,276,280,833,281,262,739,741,738,839,288,344,274,817,288,328,232,221,275,11,269,383,834,275,0,274,383,
34,24,4,590,595,591,590,20,577,7,2,8,583,9,28,579,577,574,597,48,102,2,591,48,76,74,83,1,273,21,129,584,3,274,0,129,
35,135,127,699,696,700,699,131,686,134,131,135,626,136,139,688,686,683,698,155,201,129,700,159,129,183,190,130,382,126,10,625,130,383,129,0,

#shared (all) genes
Genomes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,
1,590,5,18,10,18,18,14,17,2,2,2,10,2,16,18,17,17,10,13,11,4,18,13,9,17,18,1,17,12,12,10,3,17,2,11,
2,5,547,5,4,5,5,4,4,2,2,2,3,2,4,4,4,4,4,5,4,3,5,5,4,4,4,1,5,4,5,3,4,4,2,5,
3,18,5,592,14,592,592,16,29,2,2,2,11,2,21,30,29,29,14,16,15,3,591,16,11,26,29,1,26,12,13,11,3,25,2,12,
4,10,4,14,600,14,14,15,17,2,2,2,18,2,14,17,17,17,597,13,98,3,14,13,17,17,18,1,17,16,15,18,3,18,2,16,
5,18,5,592,14,593,592,16,29,2,2,2,11,2,21,30,29,29,14,16,15,3,592,16,11,26,29,1,26,12,13,11,3,25,2,12,
6,18,5,592,14,592,593,16,29,2,2,2,11,2,21,30,29,29,14,16,15,3,591,16,11,26,29,1,26,12,13,11,3,25,2,12,
7,14,4,16,15,16,16,575,16,2,2,2,12,2,15,17,16,16,15,14,15,3,15,14,13,16,17,1,15,15,12,12,3,17,2,11,
8,17,4,29,17,29,29,16,579,2,2,2,13,2,23,577,579,574,17,19,18,3,30,19,13,52,59,1,58,16,13,13,3,57,2,12,
9,2,2,2,2,2,2,2,2,385,2,5,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,
10,2,2,2,2,2,2,2,2,2,384,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,2,2,2,
11,2,2,2,2,2,2,2,2,5,1,374,2,8,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,
12,10,3,11,18,11,11,12,13,2,2,2,586,2,12,13,13,13,19,10,19,3,11,12,71,15,14,1,13,17,45,584,3,14,2,45,
13,2,2,2,2,2,2,2,2,6,1,8,2,382,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,
14,16,4,21,14,21,21,15,23,2,2,2,12,2,586,23,23,23,14,17,15,3,21,17,11,25,23,1,22,14,11,12,3,22,2,11,
15,18,4,30,17,30,30,17,577,2,2,2,13,2,23,593,577,574,17,19,18,3,31,19,13,53,61,1,58,16,13,13,3,59,2,12,
16,17,4,29,17,29,29,16,579,2,2,2,13,2,23,577,579,574,17,19,18,3,30,19,13,52,59,1,58,16,13,13,3,57,2,12,
17,17,4,29,17,29,29,16,574,2,2,2,13,2,23,574,574,591,17,19,18,3,30,19,13,52,59,1,58,16,13,13,3,57,2,12,
18,10,4,14,597,14,14,15,17,2,2,2,19,2,14,17,17,17,608,13,98,3,14,13,19,18,18,1,17,17,16,20,3,18,2,16,
19,13,5,16,13,16,16,14,19,2,2,2,10,2,17,19,19,19,13,552,13,3,16,46,10,20,20,1,19,12,12,10,3,19,2,13,
20,11,4,15,98,15,15,15,18,2,2,2,19,2,15,18,18,18,98,13,602,3,15,13,17,17,17,1,16,16,17,19,3,18,2,17,
21,4,3,3,3,3,3,3,3,2,2,2,3,2,3,3,3,3,3,3,3,390,3,3,3,3,3,1,3,3,3,3,3,3,2,3,
22,18,5,591,14,592,591,15,30,2,2,2,11,2,21,31,30,30,14,16,15,3,594,16,11,27,30,1,27,12,13,11,3,26,2,12,
23,13,5,16,13,16,16,14,19,2,2,2,12,2,17,19,19,19,13,46,13,3,16,539,10,22,19,1,20,13,13,12,3,19,2,11,
24,9,4,11,17,11,11,13,13,2,2,2,71,2,11,13,13,13,19,10,17,3,11,10,600,14,15,1,12,18,41,71,3,13,2,40,
25,17,4,26,17,26,26,16,52,2,2,2,15,2,25,53,52,52,18,20,17,3,27,22,14,580,57,1,59,16,14,16,3,60,2,12,
26,18,4,29,18,29,29,17,59,2,2,2,14,2,23,61,59,59,18,20,17,3,30,19,15,57,591,1,67,15,13,14,3,70,2,13,
27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,390,1,1,1,1,1,1,1,1,
28,17,5,26,17,26,26,15,58,2,2,2,13,2,22,58,58,58,17,19,16,3,27,20,12,59,67,1,577,15,13,13,3,270,2,12,
29,12,4,12,16,12,12,15,16,2,2,2,17,2,14,16,16,16,17,12,16,3,12,13,18,16,15,1,15,590,16,18,3,15,2,14,
30,12,5,13,15,13,13,12,13,2,2,2,45,2,11,13,13,13,16,12,17,3,13,13,41,14,13,1,13,16,590,47,3,12,2,126,
