Homology group id,Class,Genome 1,Genome 2,Genome 3,Genome 4,Genome 5,Genome 6,Genome 7,Genome 8,Genome 9,Genome 10,Genome 11,Genome 12,Genome 13
207473,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207474,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207475,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207476,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207477,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207478,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207479,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207480,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207481,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207483,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207484,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207485,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207486,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207488,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207489,core,20,20,104,48,21,49,20,105,49,28,20,24,15
207499,core,13,19,99,43,14,43,19,97,43,28,19,19,9
207509,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207510,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207511,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207512,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207513,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207514,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207515,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207516,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207517,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207518,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207519,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207520,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207521,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207523,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207524,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207525,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207526,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207527,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207528,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207530,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207531,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207532,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207533,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207534,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207535,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207536,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207538,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207539,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207544,core,3,1,1,1,1,1,1,1,1,1,1,1,1
207548,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207549,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207550,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207551,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207552,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207553,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207554,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207555,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207556,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207557,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207560,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207561,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207562,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207563,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207564,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207565,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207566,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207567,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207568,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207571,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207572,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207573,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207574,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207575,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207576,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207577,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207578,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207579,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207580,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207581,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207582,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207583,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207584,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207585,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207586,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207587,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207588,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207589,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207590,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207591,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207594,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207595,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207596,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207597,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207598,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207599,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207600,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207601,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207602,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207603,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207604,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207605,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207606,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207607,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207608,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207609,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207610,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207611,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207612,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207613,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207614,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207616,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207617,core,2,2,2,2,2,1,2,2,1,1,2,2,1
207618,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207619,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207620,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207621,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207622,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207623,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207628,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207629,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207630,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207632,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207633,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207634,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207635,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207636,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207638,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207649,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207659,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207660,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207661,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207662,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207664,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207666,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207667,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207668,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207669,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207671,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207672,core,1,1,1,1,1,1,1,1,2,2,1,1,1
207680,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207681,core,1,1,1,1,1,1,1,1,1,1,1,1,2
207683,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207684,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207685,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207686,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207687,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207688,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207689,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207690,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207691,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207692,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207693,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207694,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207695,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207696,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207697,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207698,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207699,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207701,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207702,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207703,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207704,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207705,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207706,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207707,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207708,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207709,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207710,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207711,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207712,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207713,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207714,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207718,core,1,1,1,1,1,2,1,1,1,1,1,1,1
207720,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207721,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207726,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207727,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207728,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207729,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207730,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207731,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207732,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207733,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207734,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207735,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207736,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207737,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207738,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207743,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207744,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207745,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207746,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207747,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207748,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207749,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207750,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207753,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207754,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207755,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207756,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207757,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207759,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207761,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207762,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207763,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207764,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207766,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207767,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207768,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207775,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207776,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207777,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207778,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207779,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207780,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207781,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207786,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207787,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207788,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207789,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207793,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207794,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207795,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207796,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207797,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207798,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207799,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207801,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207802,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207803,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207804,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207805,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207806,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207807,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207808,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207809,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207810,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207811,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207812,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207813,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207814,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207815,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207817,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207818,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207819,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207821,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207822,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207824,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207825,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207826,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207827,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207828,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207829,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207830,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207831,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207832,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207833,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207834,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207836,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207837,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207838,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207840,core,1,1,1,1,1,1,1,1,1,2,1,1,1
207841,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207842,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207843,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207844,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207846,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207847,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207848,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207850,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207851,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207852,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207853,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207854,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207855,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207856,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207857,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207858,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207859,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207860,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207861,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207862,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207869,core,2,2,2,2,2,1,2,2,1,1,2,2,1
207874,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207876,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207882,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207883,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207884,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207885,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207886,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207887,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
