#Genomes with additional copies compared to other genomes
#Homology group identifier, number of additional copies compared to the lowest number in a homology group (at least 1).

#Genome 1
Core
 1100631, 1
 1100641, 1
 1100822, 1
 1101021, 4
 1101284, 1
 1101405, 1
 1101881, 1
 1102110, 1
 1102375, 1
 1103052, 1
 1103247, 1
 1103367, 1
 1105093, 31

Accessory
 1099701, 28
 1099702, 19
 1099996, 1
 1100552, 1
 1100556, 1
 1100558, 1
 1102078, 1
 1102494, 1
 1102655, 1
 1103823, 1

#Genome 15
Core
 1099524, 5
 1099687, 1
 1100353, 1
 1100550, 1
 1100551, 1
 1100822, 1
 1101020, 1
 1101021, 2
 1101499, 1
 1101831, 1
 1101881, 1
 1102110, 1
 1102176, 1
 1102765, 1
 1105093, 63

Accessory
 1099527, 1
 1099701, 34
 1099702, 19
 1099830, 1
 1099831, 1
 1099833, 1
 1099834, 1
 1099835, 1
 1099836, 1
 1099837, 1
 1099996, 1
 1101274, 1
 1102494, 1
 1102655, 1
 1104263, 1
 1104433, 1

#Genome 16
Core
 1099524, 21
 1099687, 1
 1099818, 1
 1099819, 1
 1100056, 1
 1100318, 1
 1100550, 1
 1100657, 1
 1100819, 1
 1100822, 1
 1101020, 1
 1101021, 4
 1101110, 1
 1101394, 1
 1101396, 1
 1101494, 1
 1101501, 1
 1101731, 1
 1101837, 1
 1102158, 1
 1102283, 1
 1102284, 1
 1102304, 1
 1102432, 1
 1102805, 1
 1103096, 1
 1103104, 1
 1103337, 1
 1105093, 30

Accessory
 1099701, 25
 1099702, 61
 1099708, 1
 1099996, 1
 1100234, 1
 1100558, 1
 1101305, 1
 1102078, 1
 1102085, 1
 1102086, 1
 1102386, 1
 1102655, 1
 1103475, 1
 1103477, 1
 1103488, 1
 1103589, 1
 1103782, 1
 1103783, 1
 1103784, 1
 1103785, 1
 1103786, 1
 1103787, 1
 1103788, 1

#Genome 17
Core
 1099524, 6
 1099854, 1
 1100550, 1
 1100551, 1
 1101021, 3
 1101439, 1
 1101911, 1
 1101980, 1
 1102123, 1
 1102153, 1
 1103381, 1
 1105093, 2

Accessory
 1099701, 23
 1099703, 27
 1102494, 1
 1102655, 1
 1103477, 1
 1103488, 1

#Genome 18
Core
 1099524, 6
 1099575, 1
 1099687, 1
 1099849, 1
 1099867, 1
 1100055, 1
 1100353, 1
 1100506, 1
 1100550, 1
 1100551, 1
 1100822, 1
 1101020, 2
 1101021, 3
 1101220, 1
 1101499, 1
 1101904, 1
 1101968, 1
 1102028, 1
 1102029, 1
 1102030, 1
 1102031, 1
 1102032, 1
 1102033, 1
 1102034, 1
 1102035, 1
 1102036, 1
 1102037, 1
 1102055, 2
 1102060, 1
 1102061, 1
 1102062, 1
 1102063, 1
 1102064, 1
 1102070, 1
 1102072, 1
 1102073, 1
 1102074, 1
 1102075, 1
 1102110, 1
 1102765, 1
 1103006, 1
 1105093, 47

Accessory
 1099701, 36
 1099702, 26
 1099825, 1
 1099826, 1
 1099827, 1
 1099830, 1
 1099831, 1
 1099833, 1
 1099834, 1
 1099835, 1
 1099836, 1
 1099837, 1
 1099838, 1
 1099839, 1
 1099996, 1
 1100062, 1
 1100211, 1
 1100295, 1
 1101242, 1
 1101274, 1
 1102027, 1
 1102071, 1
 1102481, 1
 1102494, 1
 1102655, 1
 1104263, 1

#Genome 19
Core
 1099524, 6
 1099854, 1
 1100550, 1
 1100551, 1
 1100699, 1
 1100700, 1
 1101021, 3
 1101439, 1
 1101911, 1
 1101980, 1
 1102123, 1
 1102153, 1
 1102269, 1
 1103381, 1
 1105093, 5

Accessory
 1099701, 22
 1099702, 23
 1102494, 1
 1102655, 1
 1103477, 1
 1103488, 1

#Genome 20
Core
 1099524, 4
 1099687, 1
 1100478, 1
 1100550, 1
 1100551, 1
 1100641, 1
 1100822, 1
 1101020, 1
 1101021, 4
 1101405, 1
 1101881, 1
 1102110, 1
 1102375, 1
 1103052, 1
 1103367, 1
 1105093, 22

Accessory
 1099701, 25
 1099702, 22
 1099996, 1
 1100552, 1
 1100556, 1
 1100558, 1
 1102494, 1
 1102655, 1

#Genome 21
Core
 1099524, 8
 1099855, 1
 1100550, 1
 1100551, 1
 1100623, 1
 1101020, 1
 1101021, 4
 1101537, 1
 1101856, 1
 1101980, 1
 1102433, 1

Accessory
 1099701, 26
 1099703, 29
 1101274, 1
 1102494, 1
 1102655, 1

#Genome 22
Core
 1099524, 3
 1099687, 1
 1100478, 1
 1100550, 1
 1100551, 1
 1100641, 1
 1100822, 1
 1100845, 1
 1101020, 1
 1101021, 4
 1101405, 1
 1101508, 1
 1101881, 1
 1102110, 1
 1102375, 1
 1102984, 1
 1103052, 1
 1103367, 1
 1105093, 19

Accessory
 1099701, 28
 1099702, 19
 1099996, 1
 1100552, 1
 1100556, 1
 1100558, 1
 1102494, 1
 1102655, 1

#Genome 23
Core
 1099524, 6
 1099854, 1
 1100550, 1
 1100551, 1
 1101021, 3
 1101439, 1
 1101911, 1
 1101980, 1
 1102890, 1
 1103381, 1
 1105093, 8

Accessory
 1099703, 19
 1099704, 23
 1100557, 1
 1101274, 1
 1102494, 1
 1102655, 1
 1103477, 1
 1103488, 1

#Genome 24
Core
 1099524, 7
 1099687, 1
 1100306, 1
 1100541, 1
 1100550, 1
 1100551, 1
 1100715, 1
 1100822, 1
 1101021, 1
 1101540, 1
 1101545, 1
 1101873, 1
 1103194, 1
 1103359, 1
 1105093, 37

Accessory
 1099527, 1
 1099701, 22
 1099702, 18
 1099808, 1
 1101006, 1
 1101274, 2
 1102494, 1
 1102655, 1
 1102979, 1

#Genome 25
Core
 1099524, 6
 1099687, 1
 1100353, 1
 1100550, 1
 1100551, 1
 1100822, 1
 1101020, 1
 1101021, 3
 1101499, 1
 1101881, 1
 1102765, 1
 1105093, 49

Accessory
 1099702, 20
 1099704, 31
 1099825, 1
 1099826, 1
 1099827, 1
 1099830, 1
 1099831, 1
 1099833, 1
 1099834, 1
 1099836, 1
 1099837, 1
 1099838, 1
 1099839, 1
 1099996, 1
 1101274, 1
 1102494, 1
 1102655, 1
 1103896, 1
 1104263, 1

#Genome 26
Core
 1099524, 7
 1099854, 1
 1100550, 1
 1100551, 1
 1101021, 3
 1101439, 1
 1101911, 1
 1101980, 1
 1103381, 1
 1105093, 7

Accessory
 1099527, 1
 1099701, 23
 1099702, 20
 1099704, 1
 1101274, 1
 1102494, 1
 1102655, 1
 1103477, 1
 1103488, 1

#Genome 27
Core
 1099524, 3
 1099687, 1
 1100478, 1
 1100550, 1
 1100551, 1
 1100641, 1
 1100822, 1
 1100938, 1
 1101021, 3
 1101405, 1
 1101881, 1
 1102110, 1
 1102141, 1
 1102375, 1
 1103052, 1
 1103204, 1
 1103367, 1
 1105093, 25

Accessory
 1099701, 29
 1099702, 18
 1099996, 1
 1100552, 1
 1100556, 1
 1100558, 1
 1102494, 1
 1102655, 1
 1103979, 1

#Genome 28
Core
 1099524, 20
 1099687, 1
 1099818, 1
 1099819, 1
 1100056, 1
 1100318, 1
 1100550, 1
 1100657, 1
 1100819, 1
 1100822, 1
 1101020, 1
 1101021, 2
 1101110, 1
 1101394, 1
 1101396, 1
 1101494, 1
 1101501, 1
 1101731, 1
 1101837, 1
 1102158, 1
 1102283, 1
 1102284, 1
 1102304, 1
 1102432, 1
 1102805, 1
 1103096, 1
 1103104, 1
 1103337, 1
 1105093, 47

Accessory
 1099527, 3
 1099528, 1
 1099531, 1
 1099701, 27
 1099702, 50
 1099707, 1
 1099996, 1
 1100558, 1
 1101305, 1
 1102078, 1
 1102085, 1
 1102086, 1
 1102386, 1
 1102655, 1
 1103475, 1
 1103477, 1
 1103488, 1
 1104123, 1
 1104433, 1
 1104455, 4
 1104661, 2

#Genome 29
Core
 1099524, 7
 1099854, 1
 1100550, 1
 1100551, 1
 1101021, 2
 1101439, 1
 1101911, 1
 1101980, 1
 1103381, 1
 1105093, 10

Accessory
 1099527, 1
 1099701, 21
 1099702, 16
 1099703, 1
 1099705, 1
 1099706, 1
 1101274, 1
 1102494, 1
 1102655, 1
 1103477, 1
 1103488, 1

#Genome 30
Core
 1099490, 1
 1099524, 6
 1099585, 1
 1099687, 1
 1099759, 1
 1099913, 1
 1100054, 1
 1100198, 1
 1100315, 1
 1100425, 1
 1100550, 2
 1100551, 1
 1100606, 1
 1100613, 1
 1100638, 1
 1100651, 1
 1100713, 1
 1100822, 1
 1100868, 1
 1100966, 1
 1101021, 3
 1101089, 1
 1101366, 1
 1101499, 1
 1101533, 1
 1101545, 1
 1101623, 1
 1101713, 1
 1101771, 1
 1101848, 2
 1101881, 1
 1102110, 1
 1102270, 1
 1102374, 1
 1102763, 1
 1102765, 1
 1102936, 1
 1103014, 1
 1103034, 1
 1103433, 1
 1103439, 1
 1105093, 15

Accessory
 1099621, 1
 1099701, 27
 1099702, 26
 1099996, 1
 1101248, 1
 1101274, 1
 1102494, 1
 1102655, 1
 1103517, 1
 1103579, 1

#Genome 31
Core
 1099524, 3
 1099687, 1
 1100550, 1
 1100551, 1
 1100631, 1
 1100822, 1
 1100845, 1
 1101020, 1
 1101021, 4
 1102110, 1
 1102375, 1
 1103286, 1
 1105093, 10

Accessory
 1099701, 27
 1099702, 27
 1099996, 1
 1101274, 1
 1102078, 1
 1102494, 1
 1102655, 1

#Genome 32
Core
 1099524, 5
 1099687, 1
 1099814, 1
 1100550, 1
 1100551, 1
 1100641, 1
 1100822, 1
 1101021, 3
 1101746, 1
 1102110, 1
 1102375, 1
 1102775, 1
 1102942, 1
 1105093, 23

Accessory
 1099527, 1
 1099701, 34
 1099702, 26
 1099996, 1
 1100552, 1
 1100556, 1
 1100558, 1
 1102494, 1
 1102655, 1
 1103477, 1
 1103554, 1
 1103555, 1
 1103556, 1
 1103557, 1
 1103558, 3
 1103559, 1
 1103560, 1
 1103561, 1
 1103562, 1
 1103563, 1
 1103564, 1
 1103565, 2
 1103566, 1
 1103567, 1
 1103568, 1
 1103570, 1
 1103571, 1
 1103572, 1
 1103573, 1
 1103574, 1
 1103575, 1
 1103576, 1
 1103577, 1
 1103578, 1
 1103579, 1
 1103580, 1
 1103581, 1
 1103582, 1
 1103584, 1
 1103585, 1
 1103586, 1
 1103587, 1
 1103588, 1
 1103589, 1
 1103591, 1
 1103592, 1
 1103593, 1
 1103594, 1
 1103595, 1
 1103596, 1
 1103597, 1
 1103599, 1
 1103600, 1
 1103601, 1
 1103602, 1
 1103603, 1
 1103604, 1
 1103605, 1
 1103606, 2
 1103607, 1
 1103608, 1
 1103612, 1
 1103613, 1
 1103614, 1
 1103615, 1
 1103616, 1
 1103617, 1
 1103618, 1
 1103619, 1
 1103620, 1
 1103621, 1
 1103622, 1
 1103623, 1
 1103624, 1
 1103625, 1
 1103626, 1
 1103627, 1
 1103628, 1
 1103630, 1
 1103631, 1
 1103632, 1
 1103633, 1
 1103634, 1
 1103635, 1
 1103636, 1
 1103637, 1
 1103638, 1
 1103639, 1
 1103641, 1
 1103643, 1
 1103644, 1
 1103647, 1
 1103649, 1
 1103650, 2
 1103652, 3
 1103653, 1
 1103772, 1
 1103774, 1
 1103775, 1
 1103776, 1
 1103777, 1
 1103778, 1
 1103779, 2
 1103780, 2
 1103781, 2
 1103805, 1
 1103992, 1

#Genome 33
Core
 1099524, 6
 1099687, 1
 1100353, 1
 1100550, 1
 1100551, 1
 1100822, 1
 1101020, 1
 1101021, 2
 1101499, 1
 1101881, 1
 1102110, 1
 1102765, 1
 1105093, 61

Accessory
 1099527, 2
 1099701, 30
 1099702, 22
 1099996, 1
 1101274, 1
 1102494, 1
 1102655, 1
 1103792, 6
 1104433, 4

#Genome 34
Core
 1099524, 7
 1099687, 1
 1100550, 1
 1100551, 1
 1100822, 1
 1101020, 1
 1101021, 4
 1102302, 1
 1102375, 1
 1103194, 1
 1105093, 15

Accessory
 1099701, 30
 1099702, 26
 1099996, 1
 1101007, 1
 1101274, 1
 1102494, 1
 1102655, 1
 1102750, 1
 1103477, 1
 1103588, 1

#Genome 35
Core
 1099524, 5
 1099687, 1
 1099812, 1
 1099814, 1
 1100410, 1
 1100550, 1
 1100551, 1
 1100641, 1
 1100651, 1
 1100699, 1
 1100778, 1
 1100822, 1
 1101020, 1
 1101021, 4
 1101210, 1
 1101226, 1
 1101389, 1
 1101493, 1
 1101545, 1
 1101572, 1
 1101595, 1
 1101881, 1
 1102217, 1
 1102375, 1
 1102620, 1
 1102679, 1
 1102928, 1
 1103073, 1
 1105093, 21

Accessory
 1099701, 32
 1099702, 22
 1100211, 1
 1100552, 1
 1100556, 1
 1100558, 1
 1101232, 1
 1103477, 1

#Genome 36
Core
 1099524, 2
 1099687, 1
 1100478, 1
 1100550, 1
 1100551, 1
 1100641, 1
 1100822, 1
 1101020, 1
 1101021, 4
 1101405, 1
 1101881, 1
 1102110, 1
 1102375, 1
 1102548, 1
 1103052, 1
 1103367, 1
 1105093, 15

Accessory
 1099701, 28
 1099702, 19
 1099996, 1
 1100552, 1
 1100556, 1
 1100558, 1
 1102494, 1
 1102556, 1
 1102655, 1

#Genome 37
Core
 1099524, 4
 1099687, 1
 1100478, 1
 1100550, 1
 1100551, 1
 1100641, 1
 1100822, 1
 1101021, 4
 1101405, 1
 1101654, 1
 1102110, 1
 1102375, 1
 1103052, 1
 1103367, 1
 1105093, 19

Accessory
 1099701, 30
 1099702, 18
 1099996, 1
 1100552, 1
 1100556, 1
 1100558, 1
 1102494, 1
 1102655, 1
 1103558, 1

#Genome 38
Core
 1099524, 7
 1099687, 1
 1099814, 1
 1100550, 1
 1100551, 1
 1100641, 1
 1100822, 1
 1101020, 1
 1101021, 4
 1102110, 1
 1102375, 1
 1105093, 12

Accessory
 1099701, 31
 1099702, 28
 1099996, 1
 1100552, 1
 1100556, 1
 1100558, 1
 1102494, 1
 1102655, 1
 1103477, 1
 1103527, 1

#Genome 39
Core
 1099491, 1
 1099524, 5
 1099687, 1
 1099690, 1
 1099814, 1
 1100551, 1
 1100574, 1
 1100641, 1
 1100651, 1
 1100699, 1
 1100822, 1
 1101020, 1
 1101021, 3
 1101157, 1
 1101210, 1
 1101226, 1
 1101389, 1
 1101493, 1
 1101572, 1
 1101595, 1
 1101881, 1
 1101951, 1
 1102217, 1
 1102311, 1
 1102375, 1
 1102433, 1
 1102620, 1
 1102679, 1
 1103032, 1
 1105093, 26

Accessory
 1099530, 1
 1099592, 1
 1099701, 27
 1099702, 18
 1100211, 1
 1100552, 1
 1100556, 1
 1100558, 1
 1101017, 1
 1101232, 1
 1101248, 1
 1102494, 1
 1103477, 1
 1103520, 1

#Genome 40
Core
 1099524, 3
 1099687, 1
 1100478, 1
 1100541, 1
 1100550, 1
 1100551, 1
 1100641, 1
 1100822, 1
 1101021, 4
 1101051, 1
 1101112, 1
 1101405, 1
 1102110, 1
 1103052, 1
 1103367, 1
 1105093, 35

Accessory
 1099527, 1
 1099701, 34
 1099702, 9
 1099996, 1
 1100552, 1
 1100556, 1
 1101248, 2
 1102494, 1
 1102655, 1

#Genome 41
Core
 1099524, 4
 1099687, 1
 1099814, 1
 1100196, 1
 1100550, 1
 1100551, 1
 1100641, 1
 1100822, 1
 1101020, 1
 1101021, 4
 1102110, 1
 1102375, 1
 1105093, 4

Accessory
 1099701, 32
 1099702, 25
 1099996, 1
 1100552, 1
 1100556, 1
 1100558, 1
 1102078, 1
 1102494, 1
 1102655, 1

#Genome 42
Core
 1099524, 5
 1099575, 1
 1099687, 1
 1099942, 1
 1100160, 1
 1100550, 1
 1100551, 1
 1100822, 1
 1101020, 1
 1101021, 4
 1101642, 1
 1101881, 1
 1101984, 1
 1102110, 1
 1102222, 1
 1102311, 1
 1102375, 1
 1103076, 1
 1103247, 1
 1103286, 1
 1103310, 1
 1105093, 16

Accessory
 1099701, 27
 1099702, 28
 1099996, 1
 1101013, 1
 1101232, 1
 1101238, 1
 1101274, 1
 1101417, 1
 1101424, 1
 1102494, 1
 1102655, 1

#Genome 43
Core
 1099524, 6
 1099687, 1
 1099849, 1
 1100353, 1
 1100550, 1
 1100551, 1
 1100822, 1
 1101020, 3
 1101021, 5
 1101499, 1
 1101829, 1
 1101881, 1
 1102765, 1
 1102984, 1
 1105093, 31

Accessory
 1099701, 33
 1099702, 27
 1099825, 1
 1099826, 1
 1099827, 1
 1099830, 1
 1099831, 1
 1099833, 1
 1099834, 1
 1099835, 1
 1099836, 1
 1099837, 1
 1099838, 1
 1099839, 1
 1099996, 1
 1101234, 1
 1101248, 1
 1101274, 1
 1102494, 1
 1102655, 1
 1102979, 1
 1104263, 1

#Genome 44
Core
 1099524, 9
 1099687, 1
 1100306, 1
 1100541, 1
 1100550, 1
 1100551, 1
 1100715, 1
 1100822, 1
 1101021, 3
 1101873, 1
 1103194, 1
 1103359, 1
 1105093, 14

Accessory
 1099701, 22
 1099702, 21
 1099808, 1
 1101006, 1
 1101274, 1
 1102494, 1
 1102655, 1
 1102979, 1
 1103477, 1

#Genome 45
Core
 1099524, 6
 1099687, 1
 1100353, 1
 1100550, 1
 1100551, 1
 1100822, 1
 1101020, 1
 1101021, 3
 1101499, 1
 1102110, 1
 1102765, 1
 1105093, 43

Accessory
 1099701, 34
 1099702, 26
 1099996, 1
 1101274, 1
 1102494, 1
 1102655, 1

#Genome 46
Core
 1099524, 7
 1099854, 1
 1100550, 1
 1100551, 1
 1101021, 2
 1101439, 1
 1101911, 1
 1101980, 1
 1102123, 1
 1102269, 1
 1103381, 1
 1105093, 11

Accessory
 1099701, 24
 1099702, 24
 1101274, 1
 1102494, 1
 1102655, 1
 1103477, 1
 1103488, 1
 1103565, 1

#Genome 47
Core
 1099524, 1
 1099687, 1
 1100409, 1
 1100410, 1
 1100411, 1
 1100412, 1
 1100413, 1
 1100414, 1
 1100415, 1
 1100416, 1
 1100478, 1
 1100550, 1
 1100551, 1
 1100641, 1
 1100818, 1
 1100822, 1
 1101020, 1
 1101021, 4
 1101284, 1
 1101389, 1
 1101405, 1
 1101968, 1
 1102110, 1
 1102375, 1
 1102729, 1
 1102808, 1
 1103052, 1
 1103367, 1
 1105093, 34

Accessory
 1099701, 28
 1099702, 18
 1099996, 1
 1100407, 1
 1100408, 1
 1100552, 1
 1100556, 1
 1100558, 1
 1102494, 1
 1102655, 1
 1102750, 1

#Genome 48
Core
 1099524, 5
 1099854, 1
 1100550, 1
 1100551, 1
 1101021, 3
 1101439, 1
 1101911, 1
 1101980, 1
 1102154, 1
 1103381, 1
 1105093, 3

Accessory
 1099701, 28
 1099702, 26
 1100556, 1
 1101274, 1
 1102494, 1
 1102655, 1
 1103477, 1
 1103488, 1

#Genome 49
Core
 1099524, 6
 1099687, 1
 1100550, 1
 1100551, 1
 1100822, 1
 1101020, 1
 1101021, 3
 1102110, 1
 1102375, 1
 1103286, 1
 1103310, 1
 1105093, 16

Accessory
 1099701, 28
 1099702, 28
 1099996, 1
 1101274, 1
 1102494, 1
 1102655, 1
 1103477, 1

#Genome 50
Core
 1099524, 4
 1099687, 1
 1100550, 1
 1100551, 1
 1100641, 1
 1100822, 1
 1100999, 1
 1101020, 1
 1101021, 4
 1101831, 1
 1102110, 1
 1102375, 1
 1103052, 1
 1105093, 31

Accessory
 1099701, 25
 1099702, 24
 1099996, 1
 1100552, 1
 1100556, 1
 1100558, 1
 1102494, 1
 1102655, 1

#Genome 51
Core
 1099524, 8
 1099687, 1
 1100353, 1
 1100550, 1
 1100551, 1
 1100699, 1
 1100822, 1
 1101020, 1
 1101021, 2
 1101499, 1
 1101881, 1
 1101982, 1
 1102406, 1
 1102765, 1
 1105093, 55

Accessory
 1099527, 2
 1099701, 34
 1099702, 24
 1099825, 1
 1099826, 1
 1099831, 1
 1099833, 1
 1099834, 1
 1099835, 1
 1099836, 1
 1099837, 1
 1099838, 1
 1099839, 1
 1099996, 1
 1101274, 1
 1102494, 1
 1102655, 1
 1104263, 1

#Genome 52
Core
 1099524, 5
 1099687, 1
 1099814, 1
 1099938, 1
 1099939, 1
 1099940, 1
 1099941, 1
 1100550, 1
 1100551, 1
 1100641, 1
 1100822, 1
 1101020, 1
 1101021, 3
 1102110, 1
 1102400, 1
 1105093, 10

Accessory
 1099701, 35
 1099702, 23
 1099996, 1
 1100552, 1
 1100556, 1
 1100558, 1
 1102494, 1
 1102556, 1
 1102655, 1

#Genome 53
Core
 1099524, 7
 1099687, 1
 1099875, 1
 1100541, 1
 1100550, 1
 1100551, 1
 1100715, 1
 1100822, 1
 1101021, 3
 1103194, 1
 1105093, 13

Accessory
 1099701, 21
 1099702, 19
 1099808, 1
 1101274, 1
 1102494, 1
 1102655, 1
 1102979, 1
 1103939, 1
 1103965, 1

#Genome 54
Core
 1099524, 6
 1099687, 1
 1100017, 1
 1100353, 1
 1100550, 1
 1100551, 1
 1100822, 1
 1101020, 1
 1101021, 3
 1101499, 1
 1102269, 1
 1102765, 1
 1105093, 41

Accessory
 1099701, 36
 1099702, 24
 1099996, 1
 1101274, 1
 1102494, 1
 1102655, 1

#Genome 55
Core
 1099524, 3
 1099687, 1
 1100478, 1
 1100550, 1
 1100551, 1
