Homology group id,Class,Genome 1,Genome 2,Genome 3,Genome 4,Genome 5,Genome 6,Genome 7,Genome 8
2562272,core & single copy orthologous,1,1,1,1,1,1,1,1
2562273,core & single copy orthologous,1,1,1,1,1,1,1,1
2562275,core & single copy orthologous,1,1,1,1,1,1,1,1
2562285,core & single copy orthologous,1,1,1,1,1,1,1,1
2562286,core & single copy orthologous,1,1,1,1,1,1,1,1
2562287,core & single copy orthologous,1,1,1,1,1,1,1,1
2562299,core & single copy orthologous,1,1,1,1,1,1,1,1
2562310,core & single copy orthologous,1,1,1,1,1,1,1,1
2562323,core & single copy orthologous,1,1,1,1,1,1,1,1
2562341,core & single copy orthologous,1,1,1,1,1,1,1,1
2562407,core,1,1,1,1,1,1,2,1
2562454,core & single copy orthologous,1,1,1,1,1,1,1,1
2562488,core & single copy orthologous,1,1,1,1,1,1,1,1
2562492,core & single copy orthologous,1,1,1,1,1,1,1,1
2562515,core & single copy orthologous,1,1,1,1,1,1,1,1
2562524,core & single copy orthologous,1,1,1,1,1,1,1,1
2562550,core & single copy orthologous,1,1,1,1,1,1,1,1
2562558,core & single copy orthologous,1,1,1,1,1,1,1,1
2562566,core & single copy orthologous,1,1,1,1,1,1,1,1
2562567,core & single copy orthologous,1,1,1,1,1,1,1,1
2562571,core & single copy orthologous,1,1,1,1,1,1,1,1
2562582,core & single copy orthologous,1,1,1,1,1,1,1,1
2562628,core & single copy orthologous,1,1,1,1,1,1,1,1
2562659,core & single copy orthologous,1,1,1,1,1,1,1,1
2562661,core & single copy orthologous,1,1,1,1,1,1,1,1
2562670,core & single copy orthologous,1,1,1,1,1,1,1,1
2562683,core & single copy orthologous,1,1,1,1,1,1,1,1
2562684,core & single copy orthologous,1,1,1,1,1,1,1,1
2562708,core & single copy orthologous,1,1,1,1,1,1,1,1
2562713,core & single copy orthologous,1,1,1,1,1,1,1,1
2562740,core & single copy orthologous,1,1,1,1,1,1,1,1
2562742,core & single copy orthologous,1,1,1,1,1,1,1,1
2562746,core & single copy orthologous,1,1,1,1,1,1,1,1
2562748,core & single copy orthologous,1,1,1,1,1,1,1,1
2562824,core & single copy orthologous,1,1,1,1,1,1,1,1
2562903,core & single copy orthologous,1,1,1,1,1,1,1,1
2562919,core & single copy orthologous,1,1,1,1,1,1,1,1
2562927,core & single copy orthologous,1,1,1,1,1,1,1,1
2562929,core & single copy orthologous,1,1,1,1,1,1,1,1
2562933,core & single copy orthologous,1,1,1,1,1,1,1,1
2562967,core & single copy orthologous,1,1,1,1,1,1,1,1
2562969,core & single copy orthologous,1,1,1,1,1,1,1,1
2562977,core & single copy orthologous,1,1,1,1,1,1,1,1
2562990,core & single copy orthologous,1,1,1,1,1,1,1,1
2563007,core & single copy orthologous,1,1,1,1,1,1,1,1
2563034,core & single copy orthologous,1,1,1,1,1,1,1,1
2563041,core & single copy orthologous,1,1,1,1,1,1,1,1
2563043,core & single copy orthologous,1,1,1,1,1,1,1,1
2563045,core & single copy orthologous,1,1,1,1,1,1,1,1
2563065,core & single copy orthologous,1,1,1,1,1,1,1,1
2563081,core & single copy orthologous,1,1,1,1,1,1,1,1
2563086,core & single copy orthologous,1,1,1,1,1,1,1,1
2563088,core & single copy orthologous,1,1,1,1,1,1,1,1
2563089,core & single copy orthologous,1,1,1,1,1,1,1,1
2563099,core & single copy orthologous,1,1,1,1,1,1,1,1
2563105,core & single copy orthologous,1,1,1,1,1,1,1,1
2563109,core & single copy orthologous,1,1,1,1,1,1,1,1
2563118,core & single copy orthologous,1,1,1,1,1,1,1,1
2563131,core & single copy orthologous,1,1,1,1,1,1,1,1
2563145,core & single copy orthologous,1,1,1,1,1,1,1,1
2563148,core,1,1,1,1,2,1,1,1
2563155,core & single copy orthologous,1,1,1,1,1,1,1,1
2563177,core & single copy orthologous,1,1,1,1,1,1,1,1
2563180,core & single copy orthologous,1,1,1,1,1,1,1,1
2563181,core & single copy orthologous,1,1,1,1,1,1,1,1
2563243,core & single copy orthologous,1,1,1,1,1,1,1,1
2563269,core & single copy orthologous,1,1,1,1,1,1,1,1
2563277,core & single copy orthologous,1,1,1,1,1,1,1,1
2563298,core & single copy orthologous,1,1,1,1,1,1,1,1
2563339,core & single copy orthologous,1,1,1,1,1,1,1,1
2563340,core & single copy orthologous,1,1,1,1,1,1,1,1
2563341,core & single copy orthologous,1,1,1,1,1,1,1,1
2563355,core & single copy orthologous,1,1,1,1,1,1,1,1
2563357,core & single copy orthologous,1,1,1,1,1,1,1,1
2563358,core & single copy orthologous,1,1,1,1,1,1,1,1
2563360,core & single copy orthologous,1,1,1,1,1,1,1,1
2563366,core & single copy orthologous,1,1,1,1,1,1,1,1
2563367,core & single copy orthologous,1,1,1,1,1,1,1,1
2563375,core & single copy orthologous,1,1,1,1,1,1,1,1
2563376,core & single copy orthologous,1,1,1,1,1,1,1,1
2563380,core & single copy orthologous,1,1,1,1,1,1,1,1
2563381,core & single copy orthologous,1,1,1,1,1,1,1,1
2563406,core & single copy orthologous,1,1,1,1,1,1,1,1
2563407,core & single copy orthologous,1,1,1,1,1,1,1,1
2563408,core & single copy orthologous,1,1,1,1,1,1,1,1
2563412,core & single copy orthologous,1,1,1,1,1,1,1,1
2563467,core & single copy orthologous,1,1,1,1,1,1,1,1
2563476,core & single copy orthologous,1,1,1,1,1,1,1,1
2563496,core & single copy orthologous,1,1,1,1,1,1,1,1
2563497,core & single copy orthologous,1,1,1,1,1,1,1,1
2563500,core & single copy orthologous,1,1,1,1,1,1,1,1
2563523,core & single copy orthologous,1,1,1,1,1,1,1,1
2563531,core & single copy orthologous,1,1,1,1,1,1,1,1
2563534,core & single copy orthologous,1,1,1,1,1,1,1,1
2563540,core & single copy orthologous,1,1,1,1,1,1,1,1
2563550,core & single copy orthologous,1,1,1,1,1,1,1,1
2563552,core & single copy orthologous,1,1,1,1,1,1,1,1
2563553,core & single copy orthologous,1,1,1,1,1,1,1,1
2563568,core & single copy orthologous,1,1,1,1,1,1,1,1
2563589,core & single copy orthologous,1,1,1,1,1,1,1,1
2563607,core & single copy orthologous,1,1,1,1,1,1,1,1
2563609,core & single copy orthologous,1,1,1,1,1,1,1,1
2563620,core & single copy orthologous,1,1,1,1,1,1,1,1
2563642,core & single copy orthologous,1,1,1,1,1,1,1,1
2563643,core & single copy orthologous,1,1,1,1,1,1,1,1
2563644,core & single copy orthologous,1,1,1,1,1,1,1,1
2563646,core & single copy orthologous,1,1,1,1,1,1,1,1
2563649,core & single copy orthologous,1,1,1,1,1,1,1,1
2563651,core & single copy orthologous,1,1,1,1,1,1,1,1
2563652,core & single copy orthologous,1,1,1,1,1,1,1,1
2563654,core & single copy orthologous,1,1,1,1,1,1,1,1
2563656,core & single copy orthologous,1,1,1,1,1,1,1,1
2563657,core & single copy orthologous,1,1,1,1,1,1,1,1
2563659,core & single copy orthologous,1,1,1,1,1,1,1,1
2563660,core & single copy orthologous,1,1,1,1,1,1,1,1
2563662,core & single copy orthologous,1,1,1,1,1,1,1,1
2563663,core & single copy orthologous,1,1,1,1,1,1,1,1
2563664,core & single copy orthologous,1,1,1,1,1,1,1,1
2563667,core & single copy orthologous,1,1,1,1,1,1,1,1
2563668,core,2,2,2,2,2,2,2,2
2563669,core & single copy orthologous,1,1,1,1,1,1,1,1
2563670,core & single copy orthologous,1,1,1,1,1,1,1,1
2563671,core & single copy orthologous,1,1,1,1,1,1,1,1
2563688,core & single copy orthologous,1,1,1,1,1,1,1,1
2563689,core & single copy orthologous,1,1,1,1,1,1,1,1
2563693,core & single copy orthologous,1,1,1,1,1,1,1,1
2563694,core & single copy orthologous,1,1,1,1,1,1,1,1
2563695,core & single copy orthologous,1,1,1,1,1,1,1,1
2563703,core & single copy orthologous,1,1,1,1,1,1,1,1
2563709,core & single copy orthologous,1,1,1,1,1,1,1,1
2563711,core,1,1,2,1,1,1,1,1
2563712,core & single copy orthologous,1,1,1,1,1,1,1,1
2563714,core & single copy orthologous,1,1,1,1,1,1,1,1
2563719,core & single copy orthologous,1,1,1,1,1,1,1,1
2563791,core & single copy orthologous,1,1,1,1,1,1,1,1
2563792,core & single copy orthologous,1,1,1,1,1,1,1,1
2563793,core & single copy orthologous,1,1,1,1,1,1,1,1
2563841,core & single copy orthologous,1,1,1,1,1,1,1,1
2563857,core & single copy orthologous,1,1,1,1,1,1,1,1
2563861,core & single copy orthologous,1,1,1,1,1,1,1,1
2563864,core & single copy orthologous,1,1,1,1,1,1,1,1
2563881,core & single copy orthologous,1,1,1,1,1,1,1,1
2563925,core & single copy orthologous,1,1,1,1,1,1,1,1
2563954,core & single copy orthologous,1,1,1,1,1,1,1,1
2563958,core & single copy orthologous,1,1,1,1,1,1,1,1
2563997,core & single copy orthologous,1,1,1,1,1,1,1,1
2564029,core & single copy orthologous,1,1,1,1,1,1,1,1
2564036,core & single copy orthologous,1,1,1,1,1,1,1,1
2564038,core & single copy orthologous,1,1,1,1,1,1,1,1
2564039,core & single copy orthologous,1,1,1,1,1,1,1,1
2564041,core & single copy orthologous,1,1,1,1,1,1,1,1
2564046,core & single copy orthologous,1,1,1,1,1,1,1,1
2564070,core,1,1,1,1,1,1,1,2
2564085,core & single copy orthologous,1,1,1,1,1,1,1,1
2564088,core & single copy orthologous,1,1,1,1,1,1,1,1
2564090,core & single copy orthologous,1,1,1,1,1,1,1,1
2564094,core & single copy orthologous,1,1,1,1,1,1,1,1
2564097,core & single copy orthologous,1,1,1,1,1,1,1,1
2564115,core & single copy orthologous,1,1,1,1,1,1,1,1
2564116,core & single copy orthologous,1,1,1,1,1,1,1,1
2564121,core & single copy orthologous,1,1,1,1,1,1,1,1
2564136,core & single copy orthologous,1,1,1,1,1,1,1,1
2564138,core & single copy orthologous,1,1,1,1,1,1,1,1
2564139,core & single copy orthologous,1,1,1,1,1,1,1,1
2564145,core & single copy orthologous,1,1,1,1,1,1,1,1
2564161,core & single copy orthologous,1,1,1,1,1,1,1,1
2564190,core & single copy orthologous,1,1,1,1,1,1,1,1
2564225,core & single copy orthologous,1,1,1,1,1,1,1,1
2564228,core & single copy orthologous,1,1,1,1,1,1,1,1
2564237,core & single copy orthologous,1,1,1,1,1,1,1,1
2564238,core & single copy orthologous,1,1,1,1,1,1,1,1
2564241,core & single copy orthologous,1,1,1,1,1,1,1,1
2564256,core & single copy orthologous,1,1,1,1,1,1,1,1
2564267,core & single copy orthologous,1,1,1,1,1,1,1,1
2564269,core & single copy orthologous,1,1,1,1,1,1,1,1
2564289,core & single copy orthologous,1,1,1,1,1,1,1,1
2564313,core & single copy orthologous,1,1,1,1,1,1,1,1
2564316,core & single copy orthologous,1,1,1,1,1,1,1,1
2564323,core & single copy orthologous,1,1,1,1,1,1,1,1
2564368,core & single copy orthologous,1,1,1,1,1,1,1,1
2564430,core & single copy orthologous,1,1,1,1,1,1,1,1
2564443,core & single copy orthologous,1,1,1,1,1,1,1,1
2564449,core & single copy orthologous,1,1,1,1,1,1,1,1
2564451,core & single copy orthologous,1,1,1,1,1,1,1,1
2564452,core & single copy orthologous,1,1,1,1,1,1,1,1
2564459,core & single copy orthologous,1,1,1,1,1,1,1,1
2564462,core & single copy orthologous,1,1,1,1,1,1,1,1
2564496,core & single copy orthologous,1,1,1,1,1,1,1,1
2564500,core & single copy orthologous,1,1,1,1,1,1,1,1
2564502,core & single copy orthologous,1,1,1,1,1,1,1,1
2564531,core & single copy orthologous,1,1,1,1,1,1,1,1
2564547,core & single copy orthologous,1,1,1,1,1,1,1,1
2564555,core & single copy orthologous,1,1,1,1,1,1,1,1
2564556,core & single copy orthologous,1,1,1,1,1,1,1,1
2564566,core & single copy orthologous,1,1,1,1,1,1,1,1
2564575,core & single copy orthologous,1,1,1,1,1,1,1,1
2564585,core & single copy orthologous,1,1,1,1,1,1,1,1
2564600,core & single copy orthologous,1,1,1,1,1,1,1,1
2564607,core & single copy orthologous,1,1,1,1,1,1,1,1
2564630,core & single copy orthologous,1,1,1,1,1,1,1,1
2564677,core & single copy orthologous,1,1,1,1,1,1,1,1
2564682,core & single copy orthologous,1,1,1,1,1,1,1,1
2564702,core & single copy orthologous,1,1,1,1,1,1,1,1
2564721,core & single copy orthologous,1,1,1,1,1,1,1,1
2564728,core & single copy orthologous,1,1,1,1,1,1,1,1
2564729,core & single copy orthologous,1,1,1,1,1,1,1,1
2564772,core & single copy orthologous,1,1,1,1,1,1,1,1
2564779,core & single copy orthologous,1,1,1,1,1,1,1,1
2564781,core & single copy orthologous,1,1,1,1,1,1,1,1
2564782,core & single copy orthologous,1,1,1,1,1,1,1,1
2564807,core & single copy orthologous,1,1,1,1,1,1,1,1
2564854,core & single copy orthologous,1,1,1,1,1,1,1,1
2564895,core & single copy orthologous,1,1,1,1,1,1,1,1
2564898,core & single copy orthologous,1,1,1,1,1,1,1,1
2564902,core & single copy orthologous,1,1,1,1,1,1,1,1
2564958,core & single copy orthologous,1,1,1,1,1,1,1,1
2564972,core & single copy orthologous,1,1,1,1,1,1,1,1
2564983,core & single copy orthologous,1,1,1,1,1,1,1,1
2565012,core & single copy orthologous,1,1,1,1,1,1,1,1
2565023,core & single copy orthologous,1,1,1,1,1,1,1,1
2565034,core & single copy orthologous,1,1,1,1,1,1,1,1
2565039,core & single copy orthologous,1,1,1,1,1,1,1,1
2565043,core & single copy orthologous,1,1,1,1,1,1,1,1
2565053,core & single copy orthologous,1,1,1,1,1,1,1,1
2565059,core & single copy orthologous,1,1,1,1,1,1,1,1
2565061,core & single copy orthologous,1,1,1,1,1,1,1,1
2565073,core & single copy orthologous,1,1,1,1,1,1,1,1
2565077,core & single copy orthologous,1,1,1,1,1,1,1,1
2565086,core & single copy orthologous,1,1,1,1,1,1,1,1
2565088,core & single copy orthologous,1,1,1,1,1,1,1,1
2565109,core & single copy orthologous,1,1,1,1,1,1,1,1
2565119,core & single copy orthologous,1,1,1,1,1,1,1,1
2565123,core & single copy orthologous,1,1,1,1,1,1,1,1
2565211,core & single copy orthologous,1,1,1,1,1,1,1,1
2565217,core & single copy orthologous,1,1,1,1,1,1,1,1
2565219,core & single copy orthologous,1,1,1,1,1,1,1,1
2565224,core & single copy orthologous,1,1,1,1,1,1,1,1
2565236,core & single copy orthologous,1,1,1,1,1,1,1,1
2565247,core & single copy orthologous,1,1,1,1,1,1,1,1
2565261,core & single copy orthologous,1,1,1,1,1,1,1,1
2565285,core & single copy orthologous,1,1,1,1,1,1,1,1
2565314,core & single copy orthologous,1,1,1,1,1,1,1,1
2565320,core & single copy orthologous,1,1,1,1,1,1,1,1
2565326,core & single copy orthologous,1,1,1,1,1,1,1,1
2565347,core & single copy orthologous,1,1,1,1,1,1,1,1
2565409,core & single copy orthologous,1,1,1,1,1,1,1,1
2565421,core & single copy orthologous,1,1,1,1,1,1,1,1
2565425,core & single copy orthologous,1,1,1,1,1,1,1,1
2565427,core & single copy orthologous,1,1,1,1,1,1,1,1
2565440,core & single copy orthologous,1,1,1,1,1,1,1,1
2565442,core & single copy orthologous,1,1,1,1,1,1,1,1
2565452,core & single copy orthologous,1,1,1,1,1,1,1,1
2565462,core & single copy orthologous,1,1,1,1,1,1,1,1
2565468,core & single copy orthologous,1,1,1,1,1,1,1,1
2565469,core & single copy orthologous,1,1,1,1,1,1,1,1
2565471,core & single copy orthologous,1,1,1,1,1,1,1,1
2565481,core & single copy orthologous,1,1,1,1,1,1,1,1
2565486,core & single copy orthologous,1,1,1,1,1,1,1,1
2565491,core & single copy orthologous,1,1,1,1,1,1,1,1
2565492,core & single copy orthologous,1,1,1,1,1,1,1,1
2565531,core & single copy orthologous,1,1,1,1,1,1,1,1
2565532,core & single copy orthologous,1,1,1,1,1,1,1,1
2565541,core & single copy orthologous,1,1,1,1,1,1,1,1
2565549,core & single copy orthologous,1,1,1,1,1,1,1,1
2565553,core & single copy orthologous,1,1,1,1,1,1,1,1
2565555,core & single copy orthologous,1,1,1,1,1,1,1,1
2565563,core & single copy orthologous,1,1,1,1,1,1,1,1
2565565,core & single copy orthologous,1,1,1,1,1,1,1,1
2565569,core & single copy orthologous,1,1,1,1,1,1,1,1
2565570,core & single copy orthologous,1,1,1,1,1,1,1,1
2565572,core & single copy orthologous,1,1,1,1,1,1,1,1
2565585,core & single copy orthologous,1,1,1,1,1,1,1,1
2565590,core & single copy orthologous,1,1,1,1,1,1,1,1
2565609,core & single copy orthologous,1,1,1,1,1,1,1,1
2565612,core & single copy orthologous,1,1,1,1,1,1,1,1
2565615,core & single copy orthologous,1,1,1,1,1,1,1,1
2565617,core & single copy orthologous,1,1,1,1,1,1,1,1
2565619,core & single copy orthologous,1,1,1,1,1,1,1,1
2565624,core & single copy orthologous,1,1,1,1,1,1,1,1
2565635,core & single copy orthologous,1,1,1,1,1,1,1,1
2565637,core & single copy orthologous,1,1,1,1,1,1,1,1
2565645,core & single copy orthologous,1,1,1,1,1,1,1,1
2565652,core & single copy orthologous,1,1,1,1,1,1,1,1
2565657,core & single copy orthologous,1,1,1,1,1,1,1,1
2565679,core & single copy orthologous,1,1,1,1,1,1,1,1
2565687,core & single copy orthologous,1,1,1,1,1,1,1,1
2565698,core & single copy orthologous,1,1,1,1,1,1,1,1
2565705,core & single copy orthologous,1,1,1,1,1,1,1,1
2565727,core & single copy orthologous,1,1,1,1,1,1,1,1
2565734,core & single copy orthologous,1,1,1,1,1,1,1,1
2565799,core & single copy orthologous,1,1,1,1,1,1,1,1
2565808,core & single copy orthologous,1,1,1,1,1,1,1,1
2565816,core & single copy orthologous,1,1,1,1,1,1,1,1
2565818,core & single copy orthologous,1,1,1,1,1,1,1,1
2565820,core & single copy orthologous,1,1,1,1,1,1,1,1
2565833,core & single copy orthologous,1,1,1,1,1,1,1,1
2565834,core & single copy orthologous,1,1,1,1,1,1,1,1
2565835,core & single copy orthologous,1,1,1,1,1,1,1,1
2565836,core & single copy orthologous,1,1,1,1,1,1,1,1
2565853,core & single copy orthologous,1,1,1,1,1,1,1,1
2565888,core & single copy orthologous,1,1,1,1,1,1,1,1
2565901,core & single copy orthologous,1,1,1,1,1,1,1,1
2565910,core & single copy orthologous,1,1,1,1,1,1,1,1
2565914,core & single copy orthologous,1,1,1,1,1,1,1,1
2565932,core & single copy orthologous,1,1,1,1,1,1,1,1
2565933,core & single copy orthologous,1,1,1,1,1,1,1,1
2565938,core & single copy orthologous,1,1,1,1,1,1,1,1
2561344,accessory,1,1,1,1,1,1,1,0
2561348,accessory,1,1,1,1,1,1,1,0
2561352,accessory,1,1,1,1,1,1,1,0
2561354,accessory,1,1,1,1,1,1,1,0
2561355,accessory,1,1,1,1,1,1,1,0
2561356,accessory,1,1,1,1,1,1,1,0
2561358,accessory,1,1,1,1,1,1,1,0
2561359,accessory,1,1,1,1,1,1,1,0
2561360,accessory,1,1,1,1,1,1,1,0
2561364,accessory,1,1,1,1,1,1,1,0
2561365,accessory,1,1,1,1,1,1,1,0
2561367,accessory,1,1,1,1,1,1,1,0
2561368,accessory,1,1,1,1,1,1,1,0
2561369,accessory,1,1,1,1,1,1,1,0
2561371,accessory,1,1,1,1,1,1,1,0
2561382,accessory,1,1,1,1,1,1,1,0
2561384,accessory,1,1,1,1,1,1,1,0
2561385,accessory,1,1,1,1,1,1,1,0
2561386,accessory,1,1,1,1,1,1,1,0
2561388,accessory,1,1,1,1,1,1,1,0
2561389,accessory,1,1,1,1,1,1,1,0
2561391,accessory,1,0,0,0,0,0,0,1
2561393,accessory,1,0,0,0,0,0,0,1
2561394,accessory,1,1,1,1,1,1,1,0
2561395,accessory,1,1,1,1,1,1,1,0
2561396,accessory,1,1,1,1,1,1,1,0
2561399,accessory,1,1,0,0,0,0,0,0
2561402,accessory,1,1,1,1,1,1,1,0
2561403,accessory,1,1,1,1,1,1,1,0
2561406,accessory,1,1,1,1,1,1,1,0
2561408,accessory,1,1,1,1,1,1,1,0
2561409,accessory,1,1,1,1,1,1,1,0
2561414,accessory,1,1,1,1,1,1,1,0
2561415,accessory,1,1,1,1,1,1,1,0
2561416,accessory,1,1,1,1,1,1,1,0
2561418,accessory,1,1,1,1,1,1,1,0
2561419,accessory,1,1,1,1,1,1,1,0
2561425,accessory,1,1,1,1,1,1,1,0
2561426,accessory,1,1,1,1,1,1,1,0
2561428,accessory,1,1,1,1,1,1,1,0
2561429,accessory,1,1,1,1,1,1,1,0
2561436,accessory,1,1,1,1,1,1,1,0
2561440,accessory,1,1,1,1,1,1,1,0
2561442,accessory,1,1,1,1,1,1,1,0
2561445,accessory,1,1,1,1,1,1,1,0
2561447,accessory,1,1,1,1,1,1,1,0
2561450,accessory,1,1,1,1,1,1,1,0
2561456,accessory,1,1,1,1,1,1,1,0
2561460,accessory,1,1,1,1,1,1,1,0
2561461,accessory,1,1,1,1,1,1,1,0
2561462,accessory,1,1,1,1,1,1,1,0
2561465,accessory,1,1,1,1,1,1,1,0
2561466,accessory,1,1,1,1,1,1,1,0
2561468,accessory,1,1,1,1,1,1,1,0
2561469,accessory,1,1,1,1,1,1,1,0
2561474,accessory,1,1,1,1,1,1,1,0
2561477,accessory,1,1,1,1,1,1,1,0
2561478,accessory,1,1,1,1,1,1,1,0
2561485,accessory,1,1,1,1,1,1,1,0
2561486,accessory,1,1,1,1,1,1,1,0
2561489,accessory,1,1,1,1,1,1,1,0
2561493,accessory,1,1,1,1,1,1,1,0
2561495,accessory,1,1,1,1,1,1,1,0
2561498,accessory,1,0,1,1,1,1,0,0
2561499,accessory,1,1,1,1,1,1,1,0
2561500,accessory,1,1,1,1,1,1,1,0
2561508,accessory,1,1,1,1,1,1,1,0
2561509,accessory,1,1,1,1,1,1,1,0
2561510,accessory,1,1,1,1,1,1,1,0
2561512,accessory,1,1,1,1,1,1,1,0
2561513,accessory,1,1,1,1,1,1,1,0
2561514,accessory,1,1,1,1,1,1,1,0
2561515,accessory,1,1,1,1,1,1,1,0
2561516,accessory,1,1,1,1,1,1,1,0
2561519,accessory,1,1,1,1,1,1,1,0
2561521,accessory,1,1,1,1,1,1,1,0
2561526,accessory,1,1,1,1,1,1,1,0
2561527,accessory,1,1,1,1,1,1,1,0
2561528,accessory,1,1,1,1,1,1,1,0
2561538,accessory,1,1,1,1,1,1,1,0
2561544,accessory,1,1,1,1,1,1,1,0
2561545,accessory,1,1,1,1,1,1,1,0
2561552,accessory,1,1,1,1,1,1,1,0
2561553,accessory,1,1,1,1,1,1,1,0
2561554,accessory,1,1,1,1,1,1,1,0
2561555,accessory,1,1,1,1,1,1,1,0
2561556,accessory,1,1,1,1,1,1,1,0
2561557,accessory,1,1,1,1,1,1,1,0
2561558,accessory,1,1,1,1,1,1,1,0
2561560,accessory,1,1,1,1,1,1,1,0
2561561,accessory,1,0,1,1,1,1,0,0
2561565,accessory,1,1,1,1,1,1,1,0
2561566,accessory,1,1,1,1,1,1,1,0
2561571,accessory,1,1,1,1,1,1,1,0
2561572,accessory,1,1,1,1,1,1,1,0
2561573,accessory,1,0,0,0,0,0,1,0
2561574,accessory,1,0,0,0,0,0,1,0
2561575,accessory,1,0,0,0,0,0,1,0
2561576,accessory,1,0,0,0,0,0,1,1
2561577,accessory,1,0,0,0,0,0,1,0
2561579,accessory,1,0,0,0,0,0,1,0
2561580,accessory,1,0,0,0,0,0,1,1
